WKT_GEOM;ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;COORD_X;COORD_Y
POLYGON ((1397752.402 4991532.772,1397719.669 4991563.67,1397734.736 4991579.654,1397718.749 4991594.715,1397769.22 4991648.216,1397771.51629671 4991650.65033334,1397768.418 4991652.187,1397764.557 4991654.729,1397749.639 4991666.746,1397747.347 4991668.128,1397710.017 4991686.291,1397708.203 4991687.093,1397706.305 4991687.671,1397704.351 4991688.016,1397703.007 4991688.114,1397700.253 4991687.474,1397698.996 4991686.817,1397695.903 4991683.958,1397757.755 4991653.754,1397709.927 4991602.958,1397694.08 4991617.859,1397678.98 4991601.93,1397649.673 4991629.547,1397650.358 4991630.275,1397647.407 4991633.056,1397645.4089314 4991630.75208758,1397645.119 4991629.311,1397645.297 4991626.825,1397646.391 4991624.585,1397681.116 4991591.859,1397684.701 4991591.854,1397685.23308596 4991591.35337714,1397708.377 4991569.578,1397708.361 4991565.966,1397725.957 4991549.268,1397728.825 4991549.495,1397744.204 4991534.944,1397744.153 4991532.02,1397746.607 4991529.737,1397747.94 4991529.191,1397748.666 4991529.266,1397749.553 4991529.745,1397752.402 4991532.772));21;santa giulia;7;122;3402;1397708,375;4991587
POLYGON ((1397578.326 4991680.389,1397632.667 4991629.161,1397640.851 4991637.861,1397586.233 4991689.248,1397578.326 4991680.389));22;balbo;7;;891;1397609,4375;4991659
POLYGON ((1396271.49 4991265.5,1396254.509 4991233.547,1396253.821 4991233.9,1396250.071 4991227.168,1396249.4889971 4991227.43260132,1396249.065 4991226.5,1396231.56842763 4991235.69334142,1396225.77 4991224.901,1396225.329 4991223.722,1396225.347 4991221.652,1396226.602 4991219.622,1396227.25 4991219.172,1396266.026 4991198.247,1396267.567 4991197.712,1396269.241 4991197.709,1396272.592 4991199.457,1396279.79 4991212.574,1396277.801 4991212.541,1396261.478 4991219.816,1396262.016 4991220.832,1396261.283 4991221.217,1396267.248 4991233.188,1396266.6570391 4991233.51083297,1396281.28353229 4991260.28531527,1396283.33 4991261.06,1396286.311 4991259.996,1396291.516 4991257.072,1396294.116 4991254.96,1396295.111 4991252.756,1396298.515 4991251.14,1396299.27086729 4991252.56210325,1396313.68297638 4991252.71108145,1396384.711 4991383.867,1396384.40891885 4991384.05006448,1396385.53 4991385.9,1396386.239 4991387.26,1396318.19107614 4991422.54006327,1396316.556 4991419.425,1396316.32653395 4991419.54616224,1396243.73957013 4991281.58758144,1396253.666 4991274.546,1396254.769 4991274.541,1396257.679 4991274.827,1396260.885 4991273.612,1396266.891 4991270.285,1396269.691 4991268.172,1396271.49 4991265.5));23;san carlo;1;2005 11007;13550;1396305,75;4991326
POLYGON ((1396453.467 4992052.744,1396487.164 4992122.232,1396498.914 4992116.031,1396510.017 4992138.034,1396510.985 4992137.558,1396516.479 4992149.728,1396482.32 4992166.504,1396465.99703514 4992132.53607286,1396456.15127203 4992137.28396741,1396441.408 4992105.641,1396457.153 4992098.203,1396445.142 4992074.049,1396447.869 4992072.4,1396440.57700068 4992060.06641018,1396453.467 4992052.744));24;porte palatine;1;3090;3266;1396478,5;4992131,5
POLYGON ((1396873.346 4991529.148,1396883.123 4991523.624,1396901.893 4991557.351,1396910.985 4991552.223,1396929.681 4991587.796,1396930.559 4991587.705,1396987.444 4991520.739,1396994.885 4991535.094,1396947.436 4991590.411,1396953.342 4991601.621,1396995.214 4991552.662,1396999.656 4991556.524,1396966.723 4991595.183,1396967.622 4991595.949,1396962.497 4991601.898,1396949.864 4991608.571,1396949.227 4991607.781,1396940.68 4991591.549,1396904.6179407 4991610.91782639,1396904.48 4991610.661,1396875.541 4991625.939,1396867.927 4991612.075,1396869.03 4991608.612,1396895.699 4991594.312,1396902.65514236 4991607.28109619,1396910.97618848 4991602.46276638,1396904.113 4991589.5,1396904.693 4991589.19438694,1396903.17 4991586.304,1396902.335 4991586.744,1396893.60412289 4991570.02354667,1396894.2199208 4991569.7067335,1396892.434 4991566.826,1396873.346 4991529.148));25;cavallerizza reale;1;3239;3999;1396908,75;4991573,5
POLYGON ((1394434.851 4989511.238,1394441.737 4989526.529,1394440.898 4989529.495,1394442.3385149 4989532.5248571,1394433.579 4989536.772,1394429.594 4989529.623,1394360.42 4989560.29,1394365.182 4989569.322,1394358.211 4989573.011,1394356.535 4989569.802,1394352.754 4989568.195,1394347.212 4989555.557,1394344.778 4989550.122,1394375.74277206 4989534.02652794,1394389.828 4989527.074,1394409.04511005 4989518.48744252,1394412.32009665 4989517.17845094,1394416.727 4989515.531,1394430.745 4989511.00549999,1394434.307 4989509.924,1394434.851 4989511.238));26;de nicola;1;3087;1904;1394382,125;4989541,5
POLYGON ((1393904.157 4989866.499,1393909.59 4989877.741,1393908.93565698 4989878.08026712,1393920.975 4989901.299,1393992.518 4989864.334,1393986.098 4989852.076,1393984.397 4989852.967,1393979.88 4989840.319,1393998.79 4989833.836,1394026.006 4989886.337,1394072.463 4989862.391,1394078.506 4989863.227,1394074.619 4989890.672,1394074.442 4989892.148,1394071.55 4989895.291,1394069.081 4989893.863,1394068.278 4989894.928,1394062.7121728 4989891.24154303,1394063.53256901 4989890.05701636,1394061.091 4989888.366,1394007.845 4989916.118,1394035.335 4989969.186,1394037.64558132 4989973.63344454,1393984.4878266 4990001.35596381,1393982.186 4989996.959,1393956.416 4989947.458,1393950.809 4989945.663,1393887.465 4989978.595,1393886.959 4989990.498,1393885.82990067 4989992.28427096,1393856.18744581 4989974.63055605,1393864.891 4989970.051,1393917.88447255 4989942.45790754,1393882.202 4989873.933,1393904.157 4989866.499));27;mauri;3;;14082;1393956,8125;4989917,5
POLYGON ((1393775.905 4994416.611,1393740.579 4994423.432,1393738.677 4994420.63,1393742.626 4994410.956,1393744.657 4994406.052,1393748.045 4994395.993,1393749.583 4994389.214,1393752.444 4994389.265,1393753.06 4994391.193,1393754.042 4994392.964,1393755.352 4994394.507,1393756.939 4994395.763,1393758.742 4994396.684,1393759.66 4994396.88,1393761.512 4994400.094,1393761.114 4994401.052,1393760.809 4994402.403,1393760.742 4994403.787,1393760.914 4994405.162,1393761.32 4994406.487,1393761.949 4994407.722,1393762.781 4994408.83,1393763.791 4994409.778,1393764.949 4994410.538,1393766.221 4994411.087,1393767.569 4994411.409,1393768.952 4994411.494,1393770.329 4994411.339,1393771.659 4994410.95,1393772.901 4994410.338,1393774.44 4994409.18,1393775.905 4994416.611));28;isabella;5;;593;1393757,25;4994408
POLYGON ((1396565.293 4991902.911,1396556.784 4991908.162,1396557.43 4991909.941,1396553.447 4991911.923,1396559.551 4991924.335,1396549.758 4991928.952,1396548.572 4991926.56,1396551.286 4991925.214,1396550.561 4991923.677,1396552.084 4991922.922,1396548.928 4991916.227,1396547.405 4991916.982,1396546.68 4991915.444,1396539.959 4991918.776,1396540.684 4991920.315,1396539.159 4991921.071,1396542.317 4991927.764,1396543.84 4991927.009,1396544.565 4991928.547,1396546.651 4991927.513,1396547.806 4991929.87,1396545.664 4991930.878,1396542.591 4991932.332,1396545.119 4991938.171,1396545.517 4991939.089,1396546.853 4991942.172,1396521.653 4991954.439,1396519.37 4991955.55,1396532.43 4991982.567,1396552.042 4991973.329,1396555.574 4991980.862,1396568.107 4991974.968,1396564.582 4991967.45,1396567.344 4991966.155,1396578.847 4991990.69,1396571.74 4991994.364,1396571.947 4991994.763,1396566.171 4991997.533,1396545.464 4992007.461,1396525.052 4992017.257,1396524.942 4992017.924,1396525.05 4992018.5,1396519.257 4992017.209,1396512.459 4991995.74,1396491.704 4991952.701,1396487.531 4991943.904,1396486.177 4991941.14,1396488.72 4991939.615,1396489.01 4991939.591,1396515.324 4991925.36,1396515.527 4991925.656,1396527.231 4991918.712,1396527.127 4991918.413,1396547.295 4991906.793,1396547.848 4991904.177,1396561.027 4991896.302,1396565.293 4991902.911));29;duomo;1;;4337;1396532,5;4991932,25
POLYGON ((1396209.191 4991902.892,1396211.865 4991901.535,1396214.462 4991906.232,1396214.207 4991906.35,1396216.874 4991911.813,1396223.737 4991908.647,1396223.548 4991908.315,1396252.535 4991895.376,1396256.623 4991903.221,1396256.31 4991903.36,1396256.871 4991904.439,1396258.238 4991903.894,1396258.126 4991903.6,1396261.5 4991902.174,1396263.311 4991905.589,1396263.021 4991905.736,1396263.58 4991906.89,1396269.652 4991904.09,1396273.468 4991902.327,1396318.966 4991881.701,1396316.352 4991875.676,1396342.229 4991863.431,1396345.49321492 4991870.34705982,1396351.391 4991882.843,1396342.765 4991887.331,1396342.256 4991886.307,1396325.235 4991894.273,1396322.745 4991888.162,1396277.42 4991909.113,1396272.75 4991911.222,1396266.95 4991913.84,1396267.678 4991915.34,1396268.047 4991915.201,1396269.639 4991918.369,1396266.041 4991920.046,1396265.905 4991919.78,1396264.547 4991920.402,1396265.051 4991921.457,1396265.331 4991921.352,1396269.1 4991929.45,1396240.491 4991943,1396240.219 4991942.538,1396233.532 4991945.579,1396238.299 4991955.296,1396235.273 4991956.96,1396209.191 4991902.892));30;palazzo di citta;1;;2845;1396247,6875;4991910
