WKT_GEOM;ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;COORD_X;COORD_Y
POINT (1391177.952 4993544.481);247;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;CALCIO;1391177,952;4993544,481
POINT (1391177.952 4993544.481);248;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;BASEBALL;1391177,952;4993544,481
POINT (1391177.952 4993544.481);329;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;TENNIS;1391177,952;4993544,481
POINT (1391177.952 4993544.481);443;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;EDIFICI DI PERTINENZA;1391177,952;4993544,481
POINT (1391177.952 4993544.481);444;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;EDIFICI DI PERTINENZA;1391177,952;4993544,481
POINT (1391177.952 4993544.481);445;competenza della Circoscrizione;Servais - Calcio;SI;;VIA GIOVANNI SERVAIS 200 int. E int. 3;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=86;EDIFICI DI PERTINENZA;1391177,952;4993544,481
POINT (1391170.275 4992896.837);162;competenza della Circoscrizione;Tennis Franzoj;NO;;VIA GIUSEPPE BERRUTI 7/A;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=213;TENNIS;1391170,275;4992896,837
POINT (1391170.275 4992896.837);430;competenza della Circoscrizione;Tennis Franzoj;NO;;VIA GIUSEPPE BERRUTI 7/A;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=213;EDIFICI DI PERTINENZA;1391170,275;4992896,837
POINT (1392755.331 4993627.849);9;competenza della Circoscrizione;Tennis Pellerina;NO;;CORSO APPIO CLAUDIO 176 int. 30;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=215;TENNIS;1392755,331;4993627,849
POINT (1392755.331 4993627.849);442;competenza della Circoscrizione;Tennis Pellerina;NO;;CORSO APPIO CLAUDIO 176 int. 30;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=215;EDIFICI DI PERTINENZA;1392755,331;4993627,849
POINT (1394401.409 4995201.527);23;competenza della Circoscrizione;Bocciodromo Trombetta;NO;;CORSO LOMBARDIA 174/B;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=124;BOCCIOFILA;1394401,409;4995201,527
POINT (1394569.68333333 4996158.39791667);134;competenza della Circoscrizione;Bocciofila Aurora;NO;;VIA CALTANISSETTA 14/A;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=302;BOCCIOFILA;1394569,68333333;4996158,39791667
POINT (1394617.414 4997029.096);87;competenza della Circoscrizione;Bocciofila GS Citav Madonna di Campagna Onlus A.S.D.;NO;;STRADA DEL BRAMAFAME 41 int. 8;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=130;BOCCIOFILA;1394617,414;4997029,096
POINT (1394617.414 4997029.096);447;competenza della Circoscrizione;Bocciofila GS Citav Madonna di Campagna Onlus A.S.D.;NO;;STRADA DEL BRAMAFAME 41 int. 8;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=130;EDIFICI DI PERTINENZA;1394617,414;4997029,096
POINT (1393911.39 4993720.316);94;competenza della Circoscrizione;Bocciofila Martinetto;NO;;STRADA DELLE GHIACCIAIE 54/A;TORINO;10143;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=136;BOCCIOFILA;1393911,39;4993720,316
POINT (1393911.39 4993720.316);448;competenza della Circoscrizione;Bocciofila Martinetto;NO;;STRADA DELLE GHIACCIAIE 54/A;TORINO;10143;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=136;EDIFICI DI PERTINENZA;1393911,39;4993720,316
POINT (1394250.982 4994026.51);198;competenza della Circoscrizione;Bocciofila Paracchi;NO;;VIA NOLE 72/B;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=138;BOCCIOFILA;1394250,982;4994026,51
POINT (1394250.982 4994026.51);450;competenza della Circoscrizione;Bocciofila Paracchi;NO;;VIA NOLE 72/B;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=138;EDIFICI DI PERTINENZA;1394250,982;4994026,51
POINT (1394250.982 4994026.51);451;competenza della Circoscrizione;Bocciofila Paracchi;NO;;VIA NOLE 72/B;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=138;EDIFICI DI PERTINENZA;1394250,982;4994026,51
POINT (1392732.249 4995655.475);151;competenza della Circoscrizione;Bocciofila delle Alpi;NO;;VIA DELLE PERVINCHE 30;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=120;BOCCIOFILA;1392732,249;4995655,475
POINT (1393566.669 4994976.033);61;competenza della Circoscrizione;Bocciofila Rastel Verd;NO;;CORSO TOSCANA 160/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=127;BOCCIOFILA;1393566,669;4994976,033
POINT (1396666.46381517 4995162.21648845);256;competenza della Circoscrizione;Bocciofila Sospello;NO;;VIA SOSPELLO 204/A;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=129;BOCCIOFILA;1396666,46381517;4995162,21648845
POINT (1396666.46381517 4995162.21648845);452;competenza della Circoscrizione;Bocciofila Sospello;NO;;VIA SOSPELLO 204/A;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=129;EDIFICI DI PERTINENZA;1396666,46381517;4995162,21648845
POINT (1395413.56958318 4995279.49338226);453;competenza della Circoscrizione;Bocciofila El Ciuche' D' la Madona;NO;;VIA SOSPELLO 46;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=133;EDIFICI DI PERTINENZA;1395413,56958318;4995279,49338226
POINT (1395413.56958318 4995279.49338226);257;competenza della Circoscrizione;Bocciofila El Ciuche' D' la Madona;NO;;VIA SOSPELLO 46;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=133;BOCCIOFILA;1395413,56958318;4995279,49338226
POINT (1395199.78240417 4994566.74108046);121;competenza della Circoscrizione;Bocciofila Amici delle Bocce;NO;;VIA ASSISI 27/A;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=137;BOCCIOFILA;1395199,78240417;4994566,74108046
POINT (1395199.78240417 4994566.74108046);458;competenza della Circoscrizione;Bocciofila Amici delle Bocce;NO;;VIA ASSISI 27/A;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=137;EDIFICI DI PERTINENZA;1395199,78240417;4994566,74108046
POINT (1395199.78240417 4994566.74108046);457;competenza della Circoscrizione;Bocciofila Amici delle Bocce;NO;;VIA ASSISI 27/A;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=137;EDIFICI DI PERTINENZA;1395199,78240417;4994566,74108046
POINT (1393578.834 4994585.36);20;competenza della Circoscrizione;Bocciofila Pensionati di Lucento;NO;;CORSO LOMBARDIA 105/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=203;BOCCIOFILA;1393578,834;4994585,36
POINT (1393578.834 4994585.36);459;competenza della Circoscrizione;Bocciofila Pensionati di Lucento;NO;;CORSO LOMBARDIA 105/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=203;EDIFICI DI PERTINENZA;1393578,834;4994585,36
POINT (1393578.834 4994585.36);460;competenza della Circoscrizione;Bocciofila Pensionati di Lucento;NO;;CORSO LOMBARDIA 105/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=203;EDIFICI DI PERTINENZA;1393578,834;4994585,36
POINT (1393744.115 4995121.719);461;competenza della Circoscrizione;Bocciofila Amici di Lucento;NO;;STRADA ANTICA DELLA VENARIA 20/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=132;EDIFICI DI PERTINENZA;1393744,115;4995121,719
POINT (1393744.115 4995121.719);86;competenza della Circoscrizione;Bocciofila Amici di Lucento;NO;;STRADA ANTICA DELLA VENARIA 20/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=132;BOCCIOFILA;1393744,115;4995121,719
POINT (1393127.733 4994850.231);15;competenza della Circoscrizione;Bocciofila Cincinnato;NO;;CORSO L. QUINZIO CINCINNATO 135;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=303;BOCCIOFILA;1393127,733;4994850,231
POINT (1393127.733 4994850.231);463;competenza della Circoscrizione;Bocciofila Cincinnato;NO;;CORSO L. QUINZIO CINCINNATO 135;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=303;EDIFICI DI PERTINENZA;1393127,733;4994850,231
POINT (1392695.172 4995154.795);163;competenza della Circoscrizione;Bocciofila Gladioli;NO;;VIA DEI GLADIOLI 11;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=304;BOCCIOFILA;1392695,172;4995154,795
