Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;3;RACCONIGI/(CORSO)                                                     ;;23/02/2015;
Convivenza Civile;Altro;4;CAPELLI/CARLO (VIA)                                                   ;;23/02/2015;
Convivenza Civile;Altro;7;MONGRENO/(STRADA)                                                     ;;23/02/2015;
Convivenza Civile;Altro;5;BORGARO/(VIA)                                                         ;;24/02/2015;
Convivenza Civile;Altro;6;SETTIMO/(STRADA DI)                                                   ;;24/02/2015;
Convivenza Civile;Altro;;;;25/02/2015;
Convivenza Civile;Altro;1;MARIA VITTORIA/(VIA)                                                  ;;25/02/2015;
Convivenza Civile;Altro;1;ROSSELLI/CARLO E NELLO (CORSO)                                        ;;25/02/2015;
Convivenza Civile;Altro;8;SALUZZO/(VIA)                                                         ;;26/02/2015;
Convivenza Civile;Altro;1;CAIROLI/(CORSO)                                                       ;;27/02/2015;
Convivenza Civile;Altro;6;FELETTO/(VIA)                                                         ;;27/02/2015;11.45
Convivenza Civile;Altro;4;SVIZZERA/(CORSO)                                                      ;;27/02/2015;12.02
Convivenza Civile;Altro;1;VANCHIGLIA/(VIA)                                                      ;;28/02/2015;
Convivenza Civile;Altro;1;REGINA MARGHERITA/(CORSO)                                             ;;03/03/2015;
Convivenza Civile;Altro;5;ORVIETO/(VIA)                                                         ;;03/03/2015;
Convivenza Civile;Altro;6;TARANTO/(CORSO)                                                       ;;04/03/2015;
Convivenza Civile;Altro;6;VISTRORIO/(VIA)                                                       ;;04/03/2015;
Convivenza Civile;Altro;1;SACCHI/PAOLO (VIA)                                                    ;;05/03/2015;
Convivenza Civile;Altro;8;PELLICO/SILVIO (VIA)                                                  ;;05/03/2015;
Convivenza Civile;Altro;1;CONFIENZA/(VIA)                                                       ;;06/03/2015;
Convivenza Civile;Altro;5;MAGNANO/(VIA)                                                         ;;06/03/2015;
Convivenza Civile;Altro;8;DANTE/(CORSO)                                                         ;;06/03/2015;
Convivenza Civile;Altro;2;GONIN/FRANCESCO (VIA)                                                 ;;09/03/2015;
Convivenza Civile;Altro;5;STAMPALIA/(PIAZZA)                                                    ;;09/03/2015;
Convivenza Civile;Altro;7;AMALFI/(VIA)                                                          ;;09/03/2015;12.14
Convivenza Civile;Altro;1;S. TOMMASO/(VIA)                                                      ;;10/03/2015;
Convivenza Civile;Altro;10;TAZZOLI/ENRICO (CORSO)                                                ;;10/03/2015;
Convivenza Civile;Altro;8;DANTE/(CORSO)                                                         ;;12/03/2015;
Convivenza Civile;Altro;3;ISSIGLIO/(VIA)                                                        ;;13/03/2015;
Convivenza Civile;Altro;5;GUBBIO/(VIA)                                                          ;;14/03/2015;
Convivenza Civile;Altro;3;DUCHESSA JOLANDA/(VIA)                                                ;;16/03/2015;10.40
Convivenza Civile;Altro;2;BAROCCHIO/(STRADA DEL)                                                ;;18/03/2015;
Convivenza Civile;Altro;2;SEBASTOPOLI/(CORSO)                                                   ;;18/03/2015;
Convivenza Civile;Altro;7;BELGIO/(CORSO)                                                        ;;18/03/2015;
Convivenza Civile;Altro;4;SOSTEGNO/(VIA)                                                        ;;19/03/2015;
Convivenza Civile;Altro;5;GIACHINO/ERRICO (VIA)                                                 ;;19/03/2015;
Convivenza Civile;Altro;6;S. MAURO/(STRADA)                                                     ;;19/03/2015;
Convivenza Civile;Altro;7;PRIOCCA/CLEMENTE DAMIANO (VIA)                                        ;;19/03/2015;
Convivenza Civile;Altro;6;RIVAROSSA/(VIA)                                                       ;;19/03/2015;09.36
Convivenza Civile;Altro;5;FORLI'/(VIA)                                                          ;Area Verde;20/03/2015;
Convivenza Civile;Altro;1;VITTORIO EMANUELE II/(CORSO)                                          ;;21/03/2015;
Convivenza Civile;Altro;4;LOCANA/(VIA)                                                          ;;22/03/2015;
Convivenza Civile;Altro;4;TASSONI/ALESSANDRO (CORSO)                                            ;;23/03/2015;
Convivenza Civile;Altro;7;EMILIA/(CORSO)                                                        ;;23/03/2015;
Convivenza Civile;Altro;4;PRINCIPESSA CLOTILDE/(VIA)                                            ;;23/03/2015;10.24
Convivenza Civile;Altro;3;S. ANTONINO/(VIA)                                                     ;;24/03/2015;
Convivenza Civile;Altro;6;SETTIMO/(STRADA DI)                                                   ;;24/03/2015;
Convivenza Civile;Altro;8;FALCONIERI/(STRADA DEI)                                               ;;24/03/2015;
Convivenza Civile;Altro;1;CONSOLATA/(VIA DELLA)                                                 ;;25/03/2015;
Convivenza Civile;Altro;6;GOTTARDO/(VIA)                                                        ;;26/03/2015;
Convivenza Civile;Altro;6;BARBANIA/(VIA)                                                        ;;27/03/2015;
Convivenza Civile;Altro;1;PIGAFETTA/ANTONIO (VIA)                                               ;;30/03/2015;
Convivenza Civile;Altro;7;EMILIA/(CORSO)                                                        ;;30/03/2015;
Convivenza Civile;Altro;6;CIGNA/FRANCESCO (VIA)                                                 ;Area Verde;31/03/2015;
Convivenza Civile;Altro;2;DE BERNARDI/LAMBERTO (VIA)                                            ;;02/04/2015;
Convivenza Civile;Altro;8;NIZZA/(VIA)                                                           ;;02/04/2015;
Convivenza Civile;Altro;6;PAVAROLO/(VIA)                                                        ;;03/04/2015;
