WKT_GEOM;ID_AREE;DENOM;AMBITO;TIPO;LOTTO;GESTIONE;COORD_X;COORD_Y
POLYGON ((1392945.71 4993201.464,1392942.64 4993203.139,1392941.654 4993203.993,1392941.027 4993205.048,1392940.821 4993206.204,1392940.86 4993207.725,1392941.095 4993209.235,1392942.346 4993213.943,1392943.015 4993215.934,1392943.789 4993217.892,1392944.76 4993219.716,1392946.12 4993221.312,1392947.817 4993222.593,1392949.689 4993223.507,1392953.107 4993224.758,1392963.789 4993228.31,1392966.3 4993229.234,1392968.007 4993230.042,1392969.631 4993231.014,1392971.991 4993232.658,1392970.658 4993221.877,1392969.687 4993216.988,1392968.919 4993214.12,1392968.321 4993212.245,1392963.095 4993198.259,1392962.585 4993197.144,1392961.933 4993196.077,1392961.077 4993195.132,1392959.963 4993194.523,1392959.22 4993194.378,1392958.477 4993194.404,1392965.532 4993216.051,1392951.675 4993220.11,1392945.71 4993201.464));6984;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA / C. APPIO CLAUDIO (PASSERELLA);BANCHINA ALBERATA;4;COMUNALE;1392956,375;4993222,25
POLYGON ((1398401.97 4993246.964,1398465.57 4993285.84,1398468.397 4993270.742,1398469.363 4993264.102,1398469.79 4993259.668,1398469.979 4993253.137,1398469.687 4993246.577,1398469.278 4993242.202,1398468.527 4993236.382,1398464.938 4993215.21,1398389.48 4993168.32,1398388.27 4993170.229,1398318.412 4993126.544,1398319.095 4993122.897,1398233.679 4993131.777,1398230.842 4993135.994,1398160.227 4993142.886,1398154.856 4993143.325,1398235.473 4993192.521,1398321.027 4993244.874,1398342.07 4993210.35,1398401.97 4993246.964));7981;SPORT;"IMPIANTO SPORTIVO ""REGALDI""";VERDE SPORTIVO;6;COMUNALE;1398351,1875;4993204,5
POLYGON ((1398457.278 4997642.672,1398476.084 4997641.618,1398475.482 4997633.449,1398456.602 4997634.336,1398457.278 4997642.672));5987;VIA BETULLE;VIA BETULLE / VIALE FALCHERA;VERDE VARIO;6;COMUNALE;1398466,375;4997638
POLYGON ((1392688.009 4985562.432,1392595.749 4985587.299,1392596.555 4985592.491,1392689.763 4985568.695,1392688.009 4985562.432));8979;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;VERDE VARIO;10;COMUNALE;1392643,8125;4985577,5
POLYGON ((1392975.476 4993247.979,1392974.271 4993248.148,1392973.761 4993244.436,1392973.406 4993242.865,1392972.87 4993241.328,1392972.037 4993239.585,1392970.957 4993237.959,1392969.17 4993235.841,1392968.155 4993234.928,1392967.019 4993234.143,1392965.083 4993233.125,1392963.073 4993232.327,1392950.41 4993228.08,1392948.78 4993227.455,1392947.185 4993226.727,1392945.284 4993225.602,1392943.522 4993224.233,1392941.909 4993222.712,1392940.585 4993220.942,1392939.823 4993219.473,1392939.271 4993217.936,1392936.072 4993206.384,1392935.4 4993205.638,1392934.787 4993205.187,1392934.147 4993205.018,1392933.325 4993205.163,1392932.602 4993205.617,1392946.684 4993248.241,1392951.581 4993262.788,1392966.23 4993260.234,1392976.924 4993258.661,1392984.723 4993257.642,1392988.492 4993257.335,1392992.268 4993257.231,1392972.916 4993198.842,1392971.944 4993196.103,1392971.1 4993193.332,1392968.522 4993193.549,1392966.614 4993194.288,1392973.215 4993211.912,1392974.549 4993216.492,1392975.039 4993218.402,1392975.38 4993220.207,1392977.758 4993239.219,1392977.377 4993239.294,1392978.424 4993247.567,1392975.476 4993247.979));6985;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA / C. APPIO CLAUDIO (PASSERELLA);GIARDINO;4;COMUNALE;1392962,375;4993246,5
POLYGON ((1398496.261 4997703.424,1398490.419 4997612.949,1398487.494 4997613.163,1398486.842 4997613.425,1398486.01 4997614.123,1398485.562 4997615.158,1398491.082 4997700.455,1398491.739 4997701.818,1398493.113 4997703.012,1398494.555 4997703.471,1398496.261 4997703.424));5988;VIALE FALCHERA;VIALE FALCHERA;BANCHINA ALBERATA;6;COMUNALE;1398490,875;4997659,25
POLYGON ((1398625.68 4993352.11,1398630.208 4993359.942,1398637.785 4993373.835,1398643.175 4993384.413,1398647.053 4993392.437,1398652.604 4993404.617,1398657.835 4993416.973,1398661.316 4993425.756,1398666.99 4993441.244,1398670.898 4993452.958,1398673.633 4993461.799,1398677.423 4993475.147,1398680.84 4993488.6,1398683.942 4993503.441,1398685.952 4993514.629,1398688.604 4993531.494,1398691.001 4993548.45,1398691.991 4993556.217,1398693.344 4993569.835,1398694.03 4993580.061,1398694.355 4993587.733,1398694.527 4993599.234,1398694.309 4993610.718,1398693.42 4993628.908,1398692.406 4993642.558,1398691.415 4993652.781,1398689.508 4993668.065,1398688.345 4993675.672,1398687.03 4993683.25,1398700.072 4993682.391,1398701.642 4993671.217,1398703.404 4993655.252,1398704.608 4993639.236,1398705.253 4993623.187,1398705.365 4993610.159,1398704.996 4993594.101,1398704.068 4993578.067,1398702.581 4993562.074,1398700.513 4993545.993,1398697.892 4993529.994,1398694.719 4993514.094,1398690.999 4993498.313,1398686.736 4993482.671,1398681.936 4993467.185,1398679.352 4993459.551,1398673.758 4993444.333,1398667.641 4993429.318,1398661.01 4993414.523,1398653.872 4993399.966,1398646.236 4993385.664,1398638.11 4993371.635,1398629.504 4993357.894,1398625.68 4993352.11));7982;VIA MONTEVERDI CLAUDIO;VIA MONTEVERDI CLAUDIO / VIA SEMPIONE;GIARDINO;6;COMUNALE;1398665,5;4993430,75
POLYGON ((1392591.128 4985593.874,1392589.376 4985589.017,1392584.548 4985590.318,1392585.798 4985595.232,1392591.128 4985593.874));8980;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;VERDE VARIO;10;COMUNALE;1392587,75;4985592
POLYGON ((1393026.675 4993256.953,1393034.298 4993257.081,1393047.645 4993255.324,1393067.51 4993254.393,1393074.9 4993254.29,1393088.17 4993255.369,1393100.101 4993256.914,1393116.64 4993260.38,1393126.959 4993263.824,1393141.484 4993269.387,1393244.452 4993283.282,1393248.265 4993282.895,1393305.872 4993281.964,1393317.402 4993283.143,1393357.209 4993289.158,1393413.054 4993293.167,1393424.54 4993294.109,1393436.014 4993295.227,1393445.324 4993296.38,1393452.271 4993297.494,1393462.63 4993299.549,1393472.915 4993302.041,1393485.649 4993305.635,1393491.943 4993307.622,1393498.188 4993309.764,1393499.891 4993308.867,1393502.688 4993301.409,1393471.795 4993289.518,1393465.978 4993287.637,1393461.967 4993286.548,1393454.447 4993285.364,1393421.943 4993283.005,1393390.404 4993282.4,1393391.391 4993257.544,1393391.747 4993244.208,1393382.961 4993243.51,1393357.138 4993238.331,1393352.78 4993237.578,1393342.896 4993236.189,1393337.381 4993235.498,1393326.238 4993234.337,1393321.019 4993233.967,1393315.794 4993233.7,1393305.028 4993233.452,1393301.981 4993233.552,1393299.808 4993233.756,1393292.483 4993234.986,1393290.664 4993235.191,1393286.917 4993234.983,1393247.379 4993232.198,1393234.2 4993233.881,1393216.856 4993233.65,1393210.271 4993233.438,1393211.201 4993226.2,1393204.302 4993224.653,1393153.058 4993224.188,1393147.986 4993227.527,1393137.737 4993223.932,1393137.792 4993225.095,1393137.491 4993225.234,1393137.999 4993232.497,1393139.506 4993236.516,1393143.8 4993241.068,1393147.859 4993244.476,1393152.645 4993246.925,1393153.544 4993263.117,1393145.029 4993259.98,1393136.717 4993255.943,1393124.595 4993251.59,1393091.916 4993245.562,1393082.292 4993244.024,1393067.448 4993243.571,1393043.473 4993243.986,1393036.146 4993245.263,1393025.602 4993248.432,1393023.191 4993249.325,1393026.675 4993256.953));6986;CORSO APPIO CLAUDIO;CORSO APPIO CLAUDIO / VIA SISMONDA;PARCO;4;COMUNALE;1393262,9375;4993267
POLYGON ((1398481.166 4997548.766,1398475.34 4997547.553,1398474.668 4997547.703,1398474.093 4997548.192,1398473.838 4997548.831,1398473.895 4997549.517,1398475.284 4997553.913,1398477.903 4997562.991,1398480.213 4997572.152,1398482.211 4997581.386,1398483.896 4997590.683,1398485.264 4997600.031,1398485.489 4997600.544,1398485.954 4997600.856,1398486.681 4997600.861,1398491.549 4997600.311,1398490.282 4997590.514,1398488.698 4997580.764,1398486.799 4997571.071,1398484.587 4997561.444,1398482.065 4997551.893,1398481.166 4997548.766));5989;VIALE FALCHERA;VIALE FALCHERA / VIA SANT'ELIA / VIA OLMI;BANCHINA ALBERATA;6;COMUNALE;1398482,75;4997569,25
