WKT_GEOM;ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;COORD_X;COORD_Y
POINT (1395839.30942925 4991023.12677947);1480;Stalli disabili;1;ND;Nessuna;VIA S_ QUINTINO;ND;20150318000000;;
POINT (1395680.96184051 4991214.21457235);1481;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;12;20150318000000;;
POINT (1395013.97762078 4991559.59614261);1482;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;48;20150318000000;;
POINT (1395272.65419539 4991386.10089592);1483;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;39;20150318000000;;
POINT (1395702.42862244 4991507.59207729);1485;Stalli disabili;1;ND;Nessuna;VIA MERCANTINI LUIGI;ND;20150318000000;;
POINT (1396992.05189672 4992028.66814956);1487;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;101;20150320000000;;
POINT (1397120.32608023 4991966.63426074);1488;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;91;20150320000000;;
POINT (1397308.42560262 4991876.22816366);1489;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;73;20150320000000;;
POINT (1397550.75837902 4991756.56648931);1490;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;55;20150320000000;;
POINT (1397682.6463107 4991694.15530515);1491;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;43;20150320000000;;
POINT (1397893.90089531 4991593.51782692);1492;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;25;20150320000000;;
POINT (1398130.86550478 4991478.53907048);1493;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;7;20150320000000;;
POINT (1398196.98143557 4991444.04957183);1494;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;1;20150320000000;;
POINT (1397388.1780152 4991886.95978883);1497;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;68;20150320000000;;
POINT (1396993.64077012 4992078.37182105);1498;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;98;20150320000000;;
POINT (1397310.64890007 4991826.63937442);1499;Stalli disabili;1;ND;Nessuna;LARGO MONTEBELLO;35;20150320000000;;
POINT (1397263.44489923 4991817.79943786);1500;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;18;20150320000000;;
POINT (1397485.26519224 4991693.59198601);1501;Stalli disabili;1;ND;Nessuna;VIA S_ OTTAVIO;54;20150320000000;;
POINT (1397533.93058644 4991738.85939201);1502;Stalli disabili;1;ND;Nessuna;VIA BALBO CESARE;1;20150320000000;;
POINT (1397558.37013403 4991664.42416944);1504;Stalli disabili;1;ND;Nessuna;VIA GUASTALLA;24;20150320000000;;
POINT (1397359.06222504 4991459.8973235);1506;Stalli disabili;1;2012_04313;Nessuna;VIA GUASTALLA;2;20150320000000;;
POINT (1397813.02960963 4991327.63100389);1507;Stalli disabili;1;ND;Nessuna;VIA NAPIONE GIOVANNI FRANCESCO;27;20150320000000;;
POINT (1397948.29629833 4991469.23148827);1508;Stalli disabili;1;ND;Nessuna;VIA NAPIONE GIOVANNI FRANCESCO;43;20150320000000;;
POINT (1397911.01463538 4991534.80571523);1509;Stalli disabili;1;ND;Nessuna;VIA BAVA EUSEBIO;48;20150320000000;;
POINT (1397869.33197078 4991506.51528996);1510;Stalli disabili;1;ND;Nessuna;VIA BAVA EUSEBIO;41;20150320000000;;
POINT (1397789.60133378 4991411.51429057);1511;Stalli disabili;1;2015_80210;Nessuna;VIA BAVA EUSEBIO;32;20150803000000;;
POINT (1397770.20081635 4991398.66506656);1512;Stalli disabili;1;ND;Nessuna;VIA BAVA EUSEBIO;31;20150320000000;;
POINT (1397588.8447277 4991196.42227639);1513;Stalli disabili;1;ND;Nessuna;VIA BAVA EUSEBIO;16;20150320000000;;
POINT (1397272.1120141 4991737.55726531);1514;Stalli disabili;1;ND;Nessuna;VIA MONTEBELLO;32;20150320000000;;
POINT (1397420.98153697 4991512.21100062);1515;Stalli disabili;1;ND;Nessuna;VIA ARTISTI;16;20150320000000;;
POINT (1397523.69025439 4991415.07091125);1516;Stalli disabili;1;ND;Nessuna;VIA ARTISTI;24;20150320000000;;
POINT (1397547.68676686 4991400.56960231);1517;Stalli disabili;1;ND;Nessuna;VIA ARTISTI;23;20150320000000;;
POINT (1397596.01371001 4991354.85739732);1518;Stalli disabili;1;1999_01631;Nessuna;VIA ARTISTI;27;20150320000000;;
