WKT_GEOM;ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;COORD_X;COORD_Y
POLYGON ((1394519.746599 4985666.188428,1394554.060617 4985786.287493,1394497.970395 4985804.104387,1394485.43258 4985808.063697,1394451.448504 4985814.002662,1394401.627189 4985805.094215,1394378.201272 4985793.546228,1394381.170754 4985779.358701,1394428.35253 4985790.246803,1394490.71166 4985772.759851,1394471.904938 4985698.192849,1394489.721832 4985662.559061,1394519.746599 4985666.188428));5;Bengasi;piazza Bengasi, via Onorato Vigliani;dal lunedi al sabato;8;1394511,1875;4985738,5
POLYGON ((1394869.560221 4990355.988979,1394869.875763 4990355.673437,1394864.51155 4990345.260552,1394814.655919 4990327.905744,1394810.553874 4990321.279363,1394809.607248 4990321.279363,1394764.169204 4990347.784888,1394758.489449 4990338.003087,1394795.407859 4990316.861775,1394775.528715 4990297.298173,1394758.804991 4990289.409624,1394724.095374 4990260.379763,1394710.52707 4990269.846022,1394668.87553 4990227.247856,1394691.910094 4990213.995094,1394712.420322 4990251.86013,1394722.833207 4990245.864833,1394799.194363 4990314.337439,1394836.743857 4990292.880586,1394773.004379 4990171.71247,1394783.417264 4990166.348257,1394844.947948 4990283.414327,1394849.681077 4990285.62312,1394923.517898 4990243.656039,1394928.882111 4990252.806756,1394852.205413 4990296.351547,1394879.657564 4990350.624766,1394869.560221 4990355.988979));15;Crocetta;largo e vicolo Cassini, via Marco Polo, vicolo Crocetta;dal lunedi al sabato;1;1394798,875;4990208,5
POLYGON ((1398521.27504 4997798.802961,1398499.120016 4997794.737819,1398500.94933 4997738.232344,1398505.217729 4997737.419316,1398528.795553 4997767.29811,1398529.811839 4997775.02188,1398527.372753 4997777.257708,1398530.828124 4997784.778221,1398521.27504 4997798.802961));19;Falchera Vecchia;viale Falchera, via dei Pioppi;mercoledi, venerdi;6;1398515;4997773,75
POLYGON ((1395270.343437 4995529.731508,1395272.521237 4995550.420607,1395115.447416 4995565.120757,1395113.814066 4995544.159432,1395270.343437 4995529.731508));21;Grosseto;corso Grosseto, via Lulli;dal lunedi al sabato;5;1395193,1875;4995547,5
POLYGON ((1393011.999276 4986203.029948,1393017.244149 4986214.503107,1393004.381098 4986221.459119,1393009.507961 4986232.15866,1392984.988181 4986260.467861,1392997.470978 4986283.204384,1393031.129949 4986266.263445,1393049.631238 4986304.826372,1393033.804835 4986311.067771,1393019.092966 4986282.089849,1393001.483306 4986291.22904,1393016.863895 4986320.206962,1393005.272727 4986325.779639,1392979.415504 4986276.071357,1392976.294804 4986270.49868,1392954.449909 4986281.866942,1392937.063156 4986247.093435,1392992.789929 4986218.33842,1392990.783766 4986214.103185,1393011.999276 4986203.029948));22;Guala;via e piazza Guala;martedi, giovedi, sabato;8;1392966,4375;4986264,5
POLYGON ((1390615.402995 4986325.406031,1390582.782655 4986268.320436,1390602.150982 4986257.107194,1390634.431527 4986315.212175,1390615.402995 4986325.406031));27;Mirafiori Sud;via Plava vicino via Negarville;dal lunedi al sabato;2;1390608,625;4986291
POLYGON ((1397381.964904 4995109.848797,1397505.165641 4994902.96454,1397521.437436 4994894.13128,1397527.016337 4994897.850547,1397388.008713 4995125.655684,1397381.964904 4995109.848797));32;Porpora;via Porpora;dal lunedi al sabato;6;1397454,5;4995002,25
MULTIPOLYGON (((1396314.987102 4992373.252309,1396291.014326 4992322.715107,1396310.451712 4992273.473731,1396337.988008 4992260.191517,1396342.523398 4992268.938341,1396319.198535 4992279.952859,1396303.000714 4992323.36302,1396325.029751 4992367.74505,1396314.987102 4992373.252309)),((1396336.368226 4992187.009761,1396360.664957 4992237.223007,1396339.931746 4992246.941699,1396315.311058 4992196.404497,1396336.368226 4992187.009761)),((1396318.550622 4992352.162746,1396317.254797 4992348.599225,1396338.635921 4992337.908663,1396353.861873 4992289.963112,1396340.255703 4992261.454947,1396367.468042 4992247.848777,1396396.300164 4992304.865108,1396401.483467 4992325.598319,1396396.948077 4992337.908663,1396388.849166 4992348.923182,1396341.551528 4992370.952218,1396328.917228 4992372.895957,1396318.550622 4992352.162746)),((1396341.227572 4992183.770197,1396363.580565 4992173.403591,1396388.52521 4992223.940793,1396365.524304 4992233.983442,1396341.227572 4992183.770197)),((1396388.849166 4992238.518832,1396401.483467 4992265.407216,1396471.134098 4992285.168557,1396495.754786 4992273.830083,1396504.50161 4992292.295599,1396425.780199 4992330.846413,1396417.681288 4992329.226631,1396411.850072 4992325.66311,1396407.638639 4992321.451677,1396371.031563 4992245.321917,1396388.849166 4992238.518832)),((1396389.173123 4992374.191783,1396382.370038 4992361.881439,1396390.468948 4992356.698136,1396398.891815 4992356.050223,1396409.258421 4992357.346049,1396421.568765 4992365.768916,1396452.020669 4992427.644593,1396437.766586 4992434.123721,1396410.554247 4992378.727173,1396389.173123 4992374.191783)),((1396395.004338 4992243.054222,1396391.440818 4992236.575094,1396425.456242 4992218.757491,1396476.965314 4992235.603225,1396494.135004 4992270.590518,1396485.064224 4992274.801952,1396469.514316 4992243.054222,1396468.866403 4992241.43444,1396426.428111 4992229.124096,1396424.808329 4992228.152227,1396395.004338 4992243.054222)),((1396475.993444 4992416.306118,1396458.823754 4992424.728985,1396429.667676 4992364.149133,1396428.37185 4992356.374179,1396430.963501 4992344.711748,1396435.498891 4992336.612837,1396444.893628 4992331.105578,1396452.020669 4992327.542058,1396460.119579 4992332.401404,1396461.739362 4992333.69723,1396451.696712 4992365.121003,1396475.993444 4992416.306118)),((1396500.938089 4992403.023904,1396483.444442 4992368.036611,1396488.627745 4992353.458572,1396522.967126 4992337.908663,1396529.122298 4992349.895051,1396512.276564 4992397.192689,1396500.938089 4992403.023904)));33;Porta Palazzo;piazza della Repubblica;dal lunedi al sabato;7;1396316,75;4992361,75
MULTIPOLYGON (((1397656.054631 4991621.104754,1397650.871792 4991615.323896,1397736.189292 4991534.989895,1397740.574771 4991539.973393,1397715.856617 4991564.292868,1397730.408433 4991579.841384,1397715.059257 4991594.791881,1397768.283024 4991649.650236,1397759.312727 4991653.637035,1397709.278398 4991600.811947,1397694.327902 4991614.167724,1397678.181366 4991598.818548,1397656.054631 4991621.104754)),((1397700.50744 4991683.338688,1397747.950349 4991660.215253,1397751.139788 4991664.999412,1397704.095559 4991687.126147,1397700.50744 4991683.338688)));34;S.Giulia;vie S.Giulia, Balbo, piazza S.Giulia, corso Regina;dal lunedi al sabato;7;1397694,3125;4991594,5
POLYGON ((1395493.947927 4990501.435398,1395490.497883 4990494.535308,1395592.101702 4990440.542107,1395580.026545 4990419.324332,1395607.281899 4990404.316637,1395619.184553 4990427.086932,1395622.462096 4990433.297013,1395595.896751 4990447.787201,1395493.947927 4990501.435398));37;S.Secondo;vie S.Secondo, Legnano;dal lunedi al sabato;1;1395577,5625;4990453
POLYGON ((1392337.358806 4995452.58507,1392335.43378 4995381.062955,1392371.713114 4995380.618718,1392373.490061 4995442.071467,1392367.714983 4995442.219546,1392368.011141 4995451.844675,1392337.358806 4995452.58507));41;Vallette;piazzale don Pollarolo, vie delle Verbene, dei Mughetti;dal lunedi al sabato;5;1392354,5;4995416,5
POLYGON ((1395974.646513 4994520.001366,1395951.14494 4994470.498053,1395955.145208 4994468.497919,1395949.394823 4994456.997149,1395924.39315 4994469.497986,1395923.6431 4994467.747869,1395884.890506 4994387.242481,1395916.642631 4994372.241477,1395947.144672 4994436.245761,1395954.895191 4994453.746932,1396041.901014 4994413.494238,1396011.398973 4994328.488549,1396022.899742 4994323.988248,1396056.652001 4994416.744456,1396055.651934 4994417.994539,1396017.899408 4994435.495711,1395962.395693 4994461.497451,1395960.645576 4994464.997685,1395983.897132 4994515.751082,1395974.646513 4994520.001366));42;Vittoria;piazza e via Vittoria, via Villar, piazza Chiesa della Salute;dal lunedi al sabato;5;1395921;4994422
