WKT_GEOM;DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1396499.878 4990915.083);AGENZIE AFFARI;;VIA ANDREA DORIA 19;No;108;03;1;12;10123;1396499.878;4990915.083
POINT (1397357.336 4989990.25);AGENZIE AFFARI;;VIA CRIMEA 10;No;608;15;8;743;10133;1397357.336;4989990.25
POINT (1393199.029 4992650.051);AGENZIE AFFARI;;VIA DOMODOSSOLA 37;No;1346;30;4;375;10145;1393199.029;4992650.051
POINT (1393198.758 4992798.972);AGENZIE VIAGGIO;;VIA DOMODOSSOLA 49/B;No;1338;30;4;0;10145;1393198.758;4992798.972
POINT (1396067.657 4989233.103);AGENZIE VIAGGIO;ANTARCTICA TRAVEL COMPANY;CORSO MASSIMO D'AZEGLIO 60;No;881;19;8;754;10126;1396067.657;4989233.103
POINT (1396661.231 4990236.285);TRATTENIMENTI;LIFE;CORSO MASSIMO D'AZEGLIO 3;No;362;09bis;8;752;10125;1396661.231;4990236.285
POINT (1396588.582 4990199.393);AGENZIE VIAGGIO;JET VIAGGI 3000;CORSO MASSIMO D'AZEGLIO 12;No;338;09;8;734;10125;1396588.582;4990199.393
POINT (1393620.524 4990940.656);AGENZIE AFFARI;SAN PAOLO;VIA DANTE DI NANNI 106;No;1492;33;3;247;10141;1393620.524;4990940.656
POINT (1393841.464 4985301.577);AGENZIE AFFARI;;VIA DE MAISTRE FRATELLI 57;No;3049;89;2;871;10127;1393841.464;4985301.577
POINT (1393638.989 4990969.464);TRATTENIMENTI;ROSSO DI SERA...;VIA DANTE DI NANNI 102;No;1492;33;3;247;10141;1393638.989;4990969.464
POINT (1394583.05 4990114.865);AGENZIE AFFARI;;CORSO ALCIDE DE GASPERI 27 bis;No;1171;26;1;59;10129;1394583.05;4990114.865
POINT (1398105.227 4997443.597);AGENZIE AFFARI;;STRADA CUORGNE' 66;No;3036;77;6;620;10156;1398105.227;4997443.597
POINT (1394498.073 4990242.561);AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 53;No;1163;26;1;58;10129;1394498.073;4990242.561
POINT (1394349.719 4989960.674);AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 79;No;1184;26;1;63;10129;1394349.719;4989960.674
