WKT_GEOM;DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1394294.315 4989975.422);AGENZIE VIAGGIO;HIGH SPEED TRAVEL;CORSO DUCA DEGLI ABRUZZI 86;No;1183;26;1;62;10129;1394294.315;4989975.422
POINT (1394083.256 4991664.791);AGENZIE AFFARI;;VIA DANTE DI NANNI 4;No;1430;33;3;226;10138;1394083.256;4991664.791
POINT (1394941.215 4991203.641);AGENZIE VIAGGIO;YOYO TOUR;CORSO DUCA DEGLI ABRUZZI 6 bis;No;782;18;1;48;10128;1394941.215;4991203.641
POINT (1394912.919 4991149.981);AGENZIE AFFARI;SPORT CARS TORINO;CORSO DUCA DEGLI ABRUZZI 10;No;790;18;1;49;10128;1394912.919;4991149.981
POINT (1394591.23 4990419.055);AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 39;No;1156;26;1;57;10129;1394591.23;4990419.055
POINT (1395050.583 4990623.174);AGENZIE AFFARI;PUBLITALIA 80;CORSO DUCA D'AOSTA 4;No;805;18;1;51;10129;1395050.583;4990623.174
POINT (1396304.281 4988859.061);AGENZIE VIAGGIO;;CORSO DANTE 124;No;910;20;8;766;10126;1396304.281;4988859.061
POINT (1394377.052 4996415.609);AGENZIE AFFARI;;VIA DRUENTO 30/A;No;2434;66;5;0;10148;1394377.052;4996415.609
POINT (1397660.646875 4995062.37083333);AGENZIE AFFARI;;PIAZZA DERNA 215;No;2830;41;6;598;10155;1397660.646875;4995062.37083333
POINT (1390113.481 4985888.543);AGENZIE AFFARI;;STRADA DEL DROSSO 205;No;2648;91;2;901;10135;1390113.481;4985888.543
POINT (1393407.158 4986340.597);AGENZIE AFFARI;;CORSO BENEDETTO CROCE 5 scala A;No;2370;61;8;848;10135;1393407.158;4986340.597
POINT (1393307.921 4987627.44);AGENZIE AFFARI;;CORSO COSENZA 16/E;No;2915;55;2;0;10134;1393307.921;4987627.44
POINT (1396929.015 4994715.06);TRATTENIMENTI;SPAZIO211;VIA FRANCESCO CIGNA 211;No;3322;39;6;577;10155;1396929.015;4994715.06
POINT (1396127.366 4994576.828);AGENZIE VIAGGIO;LAST MINUTE TOUR;VIA CHIESA DELLA SALUTE 39;No;1789;42;5;422;10147;1396127.366;4994576.828
POINT (1395883.019 4992709.417);AGENZIE AFFARI;;VIA FRANCESCO CIGNA 5/A;No;504;12;7;0;10152;1395883.019;4992709.417
POINT (1394397.495 4992829.703);AGENZIE AFFARI;GIUBILEO SRL;VIA LUIGI CIBRARIO 62/C;No;672;16;4;0;10144;1394397.495;4992829.703
POINT (1394539.363 4992756.732);AGENZIE AFFARI;POINT GARELLI;VIA LUIGI CIBRARIO 50;No;674;16;4;333;10144;1394539.363;4992756.732
POINT (1396319.779 4992492.166);AGENZIE VIAGGIO;CISALPINA TOURS;VIA S. GIUSEPPE BENEDETTO COTTOLENGO 6;No;508;12;7;651;10152;1396319.779;4992492.166
POINT (1396212.80104167 4993024.77083333);AGENZIE AFFARI;;VIA FRANCESCO CIRIO 9;No;466;12;7;661;10152;1396212.80104167;4993024.77083333
POINT (1395071.667 4992459.019);AGENZIE AFFARI;;VIA LUIGI CIBRARIO 13;No;3203;16;4;335;10143;1395071.667;4992459.019
POINT (1398410.09 4991938.348);AGENZIE AFFARI;;VIA COSSILA 14/G;No;971;22;7;0;10153;1398410.09;4991938.348
POINT (1395910.578 4993066.563);AGENZIE AFFARI;;CORSO CIRIE' 24;No;475;12;7;659;10152;1395910.578;4993066.563
POINT (1395504.545 4994177.974);AGENZIE AFFARI;CHI CERCA...TROVA SNC;VIA CIAMARELLA 35/E;No;1858;44;5;0;10149;1395504.545;4994177.974
POINT (1396170.511 4995014.69);TRATTENIMENTI;BAR MODERNO;VIA MICHELE COPPINO 73;No;1837;43;5;443;10147;1396170.511;4995014.69
POINT (1395949.028 4992196.062);AGENZIE AFFARI;;VIA DELLA CONSOLATA 8;No;21;01;1;7;10122;1395949.028;4992196.062
POINT (1396009.872 4992314.912);TRATTENIMENTI;CAFFÉ SAVOIA;VIA DELLA CONSOLATA 12/H;No;11;01;1;0;10122;1396009.872;4992314.912
POINT (1396878.324 4993112.347);AGENZIE AFFARI;;VIA CHIVASSO 9;No;1081;24;7;701;10152;1396878.324;4993112.347
POINT (1391648.886 4992788.665);AGENZIE AFFARI;LA LUCE DIVINA;VIA PIETRO COSSA 70/B;No;2027;50;4;0;10146;1391648.886;4992788.665
POINT (1396223.233 4994938.316);AGENZIE AFFARI;;VIA CHIESA DELLA SALUTE 81/C;No;1837;43;5;0;10147;1396223.233;4994938.316
POINT (1394325.029 4990426.396);AGENZIE VIAGGIO;MONDO 1492;VIA CRISTOFORO COLOMBO 50/F;No;1153;26;1;0;10129;1394325.029;4990426.396
POINT (1394474.26 4989567.435);AGENZIE AFFARI;;VIA GIAN DOMENICO CASSINI 89 bis;No;1197;26;1;66;10129;1394474.26;4989567.435
POINT (1391269.97817083 4992766.92532013);AGENZIE AFFARI;;VIA VALENTINO CARRERA 179 int. 20;No;2415;64;4;412;10146;1391269.97817083;4992766.92532013
POINT (1395439.149 4991915.114);AGENZIE AFFARI;;VIA CERNAIA 32 scala A;No;207;05;1;24;10122;1395439.149;4991915.114
POINT (1395783.585 4991724.267);AGENZIE VIAGGIO;CTC CULTURA, TURISMO E CONCERTI;VIA CERNAIA 14;No;58;01;1;6;10122;1395783.585;4991724.267
POINT (1396444.843 4991652.396);TRATTENIMENTI;ROLL PLAY CAFÉ;PIAZZA CASTELLO 117;No;78;03;1;9;10121;1396444.843;4991652.396
POINT (1400538.588 4993469.616);AGENZIE AFFARI;;CORSO CASALE 409/D;No;2501;72;7;0;10132;1400538.588;4993469.616
POINT (1400225.318 4992560.33);AGENZIE AFFARI;;CORSO CASALE 314;No;2514;72;7;713;10132;1400225.318;4992560.33
POINT (1396123.887 4993666.272);AGENZIE AFFARI;;VIA ANTONIO CECCHI 62;No;1076;24;7;694;10152;1396123.887;4993666.272
POINT (1393451.063 4988858.979);AGENZIE VIAGGIO;NUOVO  DECIMO PARALLELO;VIA CASTAGNEVIZZA 8/B;No;2135;53;2;0;10136;1393451.063;4988858.979
