,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
429,ROOFTOP,"Via Pianezza, 110, 10151 Torino TO, Italy",ChIJ21BIdUZsiEcRhOmZw9-Qg8Q,"V.PIANEZZA 110, TORINO, Italia",45.0951425,7.647912600000001,1,10151,OK,street_address
430,ROOFTOP,"Via S. Paolo, 50, 10141 Torino TO, Italy",ChIJ49ln1d9siEcRklJK_aqnCTE,"V.S.PAOLO 50, TORINO, Italia",45.0621729,7.648972,1,10141,OK,street_address
431,ROOFTOP,"Via Desana, 18, 10155 Torino TO, Italy",ChIJkQaINpNtiEcRKqVuRr9ZmcE,"V.DESANA 18, TORINO, Italia",45.096683,7.6903834,1,10155,OK,street_address
432,ROOFTOP,"Corso Moncalieri, 218, 10133 Torino TO, Italy",ChIJKeuY2qwSiEcR5N0-27fUP88,"C.so MONCALIERI 218, TORINO, Italia",45.0404589,7.6826157,1,10133,OK,street_address
433,ROOFTOP,"Via Madama Cristina, 134, 10126 Torino TO, Italy",ChIJRc-WDEttiEcRMFxPmI_FEqM,"V.Madama Cristina 134, TORINO, Italia",45.0436551,7.672881800000001,1,10126,OK,street_address
434,ROOFTOP,"Via Leonardo da Vinci, 8, 10126 Torino TO, Italy",ChIJ2y-LfDVtiEcRCVDWsex0XSI,"V.L.DA VINCI 8, TORINO, Italia",45.0439118,7.668515399999999,1,10126,OK,street_address
435,ROOFTOP,"Corso Moncalieri, 52a, 10123 Torino TO, Italy",ChIJw-ZAH19tiEcRMmVbJfQZsFU,"C.Moncalieri,52a- Via S.Massimo,21 bis, TORINO, Italia",45.05592,7.6917475,2,10123,OK,"establishment,point_of_interest,school"
436,ROOFTOP,"Corso Massimo d'Azeglio, 17, 10126 Torino TO, Italy",ChIJTyfl0E9tiEcRibTNkynKdhg,"C.SO M.D'AZEGLIO 17, TORINO, Italia",45.0485412,7.6814458,1,10126,OK,street_address
437,ROOFTOP,"Via Giuseppe Maria Bonzanigo, 8, 10144 Torino TO, Italy",ChIJv7vOi6dtiEcRWw2W9fnK9DM,"V.BONZANIGO 8, TORINO, Italia",45.0797294,7.669224099999999,1,10144,OK,premise
438,ROOFTOP,"Via Cumiana, 2, 10141 Torino TO, Italy",ChIJGVMDcOZsiEcRXqatNB-KClA,"V.CUMIANA 2, TORINO, Italia",45.0665866,7.643653599999999,1,10141,OK,street_address
439,ROOFTOP,"Viale Enrico Thovez, 37, 10131 Torino TO, Italy",ChIJ93EYh6NyiEcRol9bOnpHge0,"V.LE THOVEZ 37, TORINO, Italia",45.0543984,7.702055000000001,1,10131,OK,street_address
440,ROOFTOP,"Via Gaspare Gorresio, 13, 10149 Torino TO, Italy",ChIJN_5k7jVsiEcRlUwUQEJEg8M,"V.GORRESIO 13, TORINO, Italia",45.0998603,7.6572,1,10149,OK,street_address
441,ROOFTOP,"Via Massena, 36, 10128 Torino TO, Italy",ChIJYd_w5j9tiEcRDXl-PBdoZ_k,"V.MASSENA 36, TORINO, Italia",45.0605335,7.6724331,1,10128,OK,street_address
442,ROOFTOP,"Via Edoardo Rubino, 77a, 10137 Torino TO, Italy",ChIJjWFK_UgTiEcRlkw9vhX16iQ,"V.RUBINO 77/A, TORINO, Italia",45.0382143,7.6194618,1,10137,OK,street_address
443,ROOFTOP,"Piazza Maria Ausiliatrice, 27, 10152 Torino TO, Italy",ChIJvfz-kaBtiEcRNRa6pcg86uQ,"P.ZZA M.AUSILIATRICE,27, TORINO, Italia",45.0802609,7.675251599999999,1,10152,OK,street_address
444,ROOFTOP,"Viale Enrico Thovez, 37, 10131 Torino TO, Italy",ChIJ93EYh6NyiEcRol9bOnpHge0,"V.LE THOVEZ 37, TORINO, Italia",45.0543984,7.702055000000001,1,10131,OK,street_address
445,ROOFTOP,"Piazza Maria Ausiliatrice, 27, 10152 Torino TO, Italy",ChIJvfz-kaBtiEcRNRa6pcg86uQ,"P.za M.AUSILIATRICE 27, TORINO, Italia",45.0802609,7.675251599999999,1,10152,OK,street_address
446,ROOFTOP,"Corso Moncalieri, 52a, 10123 Torino TO, Italy",ChIJCbHE4V5tiEcRSoxsuSwUkH0,"CORSO MONCALIERI52/A, TORINO, Italia",45.05592,7.6917475,1,10123,OK,street_address
447,ROOFTOP,"Via Cavour, 45, 10123 Torino TO, Italy",ChIJdZMSGWFtiEcR0P8dKufgIzA,"V.CAVOUR 45/D, TORINO, Italia",45.0619535,7.692282199999999,1,10123,OK,street_address
448,ROOFTOP,"Corso Moncalieri, 48, 10133 Torino TO, Italy",ChIJV_erB19tiEcRP6GhdRZzVjo,"C.SO MONCALIERI 48, TORINO, Italia",45.05671,7.692550000000001,1,10133,OK,street_address
449,RANGE_INTERPOLATED,"Piazza Giuseppe Manno, 22, 10151 Torino TO, Italy",EjJQaWF6emEgR2l1c2VwcGUgTWFubm8sIDIyLCAxMDE1MSBUb3Jpbm8gVE8sIEl0YWxpYSIaEhgKFAoSCZUi8RgxbIhHEQGupRsaKvRSEBY,"P.za MANNO 22, TORINO, Italia",45.1051159,7.6554132,1,10151,OK,street_address
450,ROOFTOP,"Via Gattinara, 7, 10153 Torino TO, Italy",ChIJnfJEVoZyiEcRjUjRT_oErl8,"V.GATTINARA 7, TORINO, Italia",45.0741942,7.7080074,1,10153,OK,premise
451,ROOFTOP,"Via Ala di Stura, 23, 10147 Torino TO, Italy",ChIJ21nLcMJtiEcRd2sBipqbBic,"V.ALA DI STURA 23, TORINO, Italia",45.1036861,7.6846174,1,10147,OK,street_address
452,ROOFTOP,"Via Giacinto Collegno, 65, 10138 Torino TO, Italy",ChIJqRkZcwNtiEcRG5nmfz5nBnE,"V.COLLEGNO 65, TORINO, Italia",45.07278669999999,7.658781100000001,1,10138,OK,street_address
453,ROOFTOP,"Via Zubiena, 4, 10147 Torino TO, Italy",ChIJu6Bf5MttiEcRZQL90x4Nkno,"V.ZUBIENA 4, TORINO, Italia",45.1024071,7.6676005,1,10147,OK,street_address
454,ROOFTOP,"Via Sospello, 64, 10147 Torino TO, Italy",ChIJ_xHTS89tiEcRyhhtvnK_qE4,"V.SOSPELLO 64, TORINO, Italia",45.1028132,7.671659399999999,1,10147,OK,street_address
455,ROOFTOP,"Corso Lucio Quinzio Cincinnato, 200, 10151 Torino TO, Italy",ChIJC1aMrTlsiEcR_IDSN0pIq4w,"C.so CINCINNATO 200, TORINO, Italia",45.10221960000001,7.6491504,1,10151,OK,street_address
456,ROOFTOP,"Via Vincenzo Gioberti, 9, 10128 Torino TO, Italy",ChIJBwkF2mptiEcR2MImPp9Lo7k,"V.GIOBERTI,9, TORINO, Italia",45.0624128,7.6747489,1,10128,OK,street_address
457,ROOFTOP,"Via Magenta, 29, 10128 Torino TO, Italy",ChIJSwiibRRtiEcRPWbzeFfYw90,"V.MAGENTA 29, TORINO, Italia",45.0645414,7.671005699999999,1,10128,OK,street_address
458,ROOFTOP,"Via Giovanni da Verazzano, 58, 10129 Torino TO, Italy",ChIJA_MoHSRtiEcR5u-F3vG3whc,"V.G.DA VERAZZANO 58, TORINO, Italia",45.0563496,7.655816799999999,1,10129,OK,street_address
459,ROOFTOP,"Via Vincenzo Gioberti, 33, 10128 Torino TO, Italy",ChIJJaOv8D9tiEcRDchie5d0ZO0,"V.GIOBERTI, 33, TORINO, Italia",45.0596979,7.6729059,1,10128,OK,street_address
460,ROOFTOP,"Via S. Donato, 17, 10144 Torino TO, Italy",ChIJE-CA7wdtiEcRVimSsrkMkY4,"V.S.DONATO 17, TORINO, Italia",45.0790453,7.6665765,1,10144,OK,premise
461,ROOFTOP,"Via Lombardore, 27, 10154 Torino TO, Italy",ChIJiRxA2I9tiEcR5i4DjcJkzos,"V.LOMBARDORE 27, TORINO, Italia",45.0891182,7.6923384,1,10154,OK,street_address
462,ROOFTOP,"Via Vestignè, 7, 10155 Torino TO, Italy",ChIJKy7ab5JtiEcRE-0ZgRhzUrU,"VIA VESTIGNE', 7, TORINO, Italia",45.0937022,7.692903,1,10155,OK,street_address
463,ROOFTOP,"Via Sandro Botticelli, 11, 10155 Torino TO, Italy",ChIJqQ70NvBtiEcRtSqR8lKDfFU,"V.BOTTICELLI 11/15, TORINO, Italia",45.1036586,7.697421599999999,1,10155,OK,street_address
464,ROOFTOP,"Via Tronzano, 20, 10155 Torino TO, Italy",ChIJoemSdvJtiEcRZwfajRJ97Og,"V.TRONZANO 20, TORINO, Italia",45.09973,7.695480000000001,1,10155,OK,street_address
465,ROOFTOP,"Corso Giovanni Agnelli, 20, 10137 Torino TO, Italy",ChIJpYD6PdUSiEcRnI_sXbP4CRg,"CORSO AGNELLI,20 C, TORINO, Italia",45.0422573,7.6479633,1,10137,OK,street_address
466,ROOFTOP,"Via Giulio Biglieri, 30, 10126 Torino TO, Italy",ChIJ_4o-ObcSiEcReYSqJM5dE2g,"V.GIULIO 30, TORINO, Italia",45.0338554,7.6709228,3,10126,OK,street_address
467,RANGE_INTERPOLATED,"Via Modesto Paroletti, 15, 10154 Torino TO, Italy",EjJWaWEgTW9kZXN0byBQYXJvbGV0dGksIDE1LCAxMDE1NCBUb3Jpbm8gVE8sIEl0YWxpYSIaEhgKFAoSCaM3NRZycohHEYTv-8wxCN2aEA8,"V.PAROLETTI 15, TORINO, Italia",45.091337,7.714408199999999,1,10154,OK,street_address
