ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;geometry;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
136;garibaldi;1;3000;7890;POLYGON ((7.677547705671312 45.07381869788887, 7.677978722925485 45.07366572931355, 7.677949523886523 45.07361694432389, 7.677956533771327 45.07361430700794, 7.677865545199936 45.07346684152306, 7.677783506763517 45.07336922270807, 7.677780900159994 45.07337097484296, 7.67762141003647 45.07318895956431, 7.677585576776014 45.07313681344971, 7.67758202149593 45.07313804007552, 7.677515016058535 45.07305678916233, 7.677581288537557 45.07301563623176, 7.677670972298943 45.07315627259593, 7.677825008035001 45.07334564198829, 7.677862489761946 45.07339938382682, 7.677916647018407 45.07344892597364, 7.678036343858021 45.07363396366431, 7.678039260159017 45.0736364098757, 7.678046151277395 45.07363837101862, 7.678053127159829 45.07363775867272, 7.67893038245173 45.07332370169102, 7.678983406797288 45.07331054277613, 7.679868883936299 45.07299538548928, 7.679695234742559 45.07276810582344, 7.679699748826784 45.07276637200218, 7.679660454424144 45.07271074645575, 7.679650182809548 45.07271325613523, 7.679562913795848 45.07259832732323, 7.679566937716497 45.07259679319304, 7.679406577510765 45.07238952970883, 7.678636318534501 45.07267708584647, 7.678535116783663 45.07263647820159, 7.679012997398337 45.07243893191518, 7.679107636471275 45.07239938456978, 7.67934944925162 45.07231509134613, 7.678975247700678 45.07169511219764, 7.679041140408732 45.07167480070306, 7.679057949782452 45.07170218130413, 7.679411904523062 45.0722785200335, 7.67941762788824 45.0722842932846, 7.679422225229517 45.07228710997163, 7.680067384073016 45.07205301217159, 7.680290583021254 45.07196652136691, 7.680304903802359 45.07192717869662, 7.68036307883933 45.07198598382633, 7.68006828819139 45.07210642938778, 7.679722551714998 45.07222866142571, 7.679675868142412 45.07225117471842, 7.679434792810982 45.07233216455976, 7.679544980483419 45.07247515203844, 7.679539754764298 45.07247865624437, 7.679623726258718 45.07257626016312, 7.679655728160045 45.07260377925942, 7.679926247341952 45.07297417483304, 7.680852251019065 45.07264910862936, 7.680924801415266 45.07273690284398, 7.679990853333321 45.07306598252043, 7.680238405042243 45.07340506508262, 7.680523785560823 45.07379574967052, 7.680449456257699 45.07382076795091, 7.680199247238863 45.07346704777866, 7.679932545788328 45.07308846952635, 7.6790464755555 45.07340064989703, 7.679207378217737 45.07363405189837, 7.679297595907895 45.0737649623714, 7.679412734137475 45.07393193358299, 7.679556170744224 45.07414000943873, 7.679514484610946 45.07415535404137, 7.679150988511672 45.0736416359678, 7.678992326526433 45.07341740548552, 7.678111504936902 45.07373621951843, 7.678236580050921 45.07390624151601, 7.678295087944367 45.07398586333198, 7.678290317240605 45.07398780646211, 7.678316488767956 45.07402796874318, 7.678321061743233 45.07402688748043, 7.678392535812813 45.07412049488583, 7.678542525683364 45.07431639664076, 7.678604506211324 45.0744157000735, 7.678547281753236 45.07446716618734, 7.678341560659973 45.07418082785154, 7.678258914276375 45.07406597320772, 7.678255585337347 45.07406709587658, 7.678215634454268 45.07401241641804, 7.678211791432895 45.07401324508078, 7.67806394301742 45.07379728501381, 7.678055127180512 45.07380055854339, 7.678025107729259 45.07376420434438, 7.676899395943804 45.07416100761437, 7.676835956806984 45.07406944576114, 7.677421525968199 45.07386510684159, 7.677547705671312 45.07381869788887));1;Centro;Centro - Crocetta
137;mollino;1;;1477;POLYGON ((7.687693148234161 45.07095255859614, 7.687839159742736 45.07093538753046, 7.688826204411051 45.07056184514433, 7.688923492257243 45.07070097577152, 7.68811007317002 45.07098692101026, 7.688053244388552 45.07096445693698, 7.687773455098674 45.07106592130928, 7.687693148234161 45.07095255859614));1;Centro;Centro - Crocetta
3;Montanaro;6;80259;705;POLYGON ((7.695353632666179 45.09370361261799, 7.695436758759642 45.09387129334384, 7.695025414969043 45.09399443704758, 7.694994334417156 45.09394730305461, 7.694940500203801 45.09382347083756, 7.695353632666179 45.09370361261799));18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
4;Sesia;6;84224;782;POLYGON ((7.693677297919244 45.0897697216231, 7.693873321420209 45.09019785813675, 7.693765576576271 45.09022391824902, 7.693670968786828 45.09002329680914, 7.693493452702678 45.09006658630859, 7.693476217700561 45.08980171763933, 7.693669448997212 45.08975170058254, 7.693677297919244 45.0897697216231));18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
5;Sesia;6;84224;352;POLYGON ((7.693507129016427 45.08939820377176, 7.693649861952591 45.08970677440465, 7.693472841663799 45.08974983424038, 7.693472253351582 45.0897407929688, 7.693450336497093 45.08940396974138, 7.693507129016427 45.08939820377176));18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
34;bologna;6;;568;POLYGON ((7.698557356921355 45.08395394427588, 7.697591968654889 45.08351714847515, 7.697619997106085 45.08348478332945, 7.69795066953353 45.08363426468649, 7.697972011175468 45.08361042874406, 7.698606105091329 45.08389713263669, 7.698557356921355 45.08395394427588));18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
48;tollegno;6;2550;1163;POLYGON ((7.699112373324206 45.08532407070789, 7.699206942485257 45.08520902735557, 7.700055763657587 45.08559370389656, 7.699959239007196 45.0857059351718, 7.699112373324206 45.08532407070789));18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
8;querce;6;3204;4334;POLYGON ((7.707295701287034 45.13042881180596, 7.707365314723142 45.13087155211707, 7.708333643309533 45.13081976870858, 7.708415589560975 45.13155853929098, 7.70968476944104 45.13164345485738, 7.710151477874747 45.1320595418157, 7.710556792768333 45.13200947586726, 7.710571900416547 45.13207653275898, 7.710128206242562 45.13213296080753, 7.709644951330789 45.13169918552982, 7.708328385976904 45.13161056827364, 7.708258513579924 45.13091438399113, 7.707035510286978 45.13098348348848, 7.706914696331339 45.13116247993243, 7.706881225523143 45.13112472455757, 7.707013743111258 45.13094213704364, 7.706973028093192 45.13059537539576, 7.706974136778375 45.13054632871431, 7.706995152454028 45.13043350707418, 7.707295701287034 45.13042881180596));19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
15;san michele;6;2514;2113;POLYGON ((7.705718471213713 45.11699785911455, 7.705946444503721 45.11706167226092, 7.705995201248705 45.11709596284495, 7.706175321332554 45.11714796312935, 7.706347065577293 45.11714925234373, 7.7062448128582 45.1173285301946, 7.706369584509359 45.11748041469883, 7.706355074579277 45.11750529247549, 7.706341403082518 45.11752854165113, 7.706333621137317 45.11753028078586, 7.706270647135948 45.11751186103963, 7.706257580340083 45.11752423804743, 7.705620210451722 45.11733445723117, 7.705610639445096 45.11731861395423, 7.705631008913024 45.11720328265823, 7.705668632860385 45.11699338082803, 7.705718471213713 45.11699785911455));19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
16;falchera;6;2148;7868;POLYGON ((7.709296749487756 45.12619372395484, 7.709293447448256 45.12618618978025, 7.709403241344894 45.12606580193696, 7.709367531430023 45.12599442089048, 7.709378289950963 45.12598816941269, 7.709059385865506 45.12571307644635, 7.709136789273518 45.12563737540005, 7.709148316918421 45.12562126692532, 7.70987484113906 45.12629340809851, 7.710129513498146 45.12619341600315, 7.710212968663483 45.12620683508404, 7.710182952249808 45.12624495963527, 7.710191865244922 45.12643731573654, 7.71005226261592 45.12649200424216, 7.710053770265217 45.1264949677057, 7.709885633756497 45.12652811081569, 7.710003030733743 45.12690342539936, 7.710108247067514 45.12724153377632, 7.709978428793027 45.12724671004044, 7.709976887047483 45.1271853829764, 7.709912503125446 45.12713987263721, 7.709871836092155 45.12710104840396, 7.709852907183198 45.12711097924674, 7.709830311476789 45.12712337108084, 7.709733598088692 45.12704204711268, 7.70975113265777 45.12702741071635, 7.70970182012111 45.1269896679137, 7.709644063924839 45.12698971722872, 7.709607205383256 45.12702897949745, 7.709605238086383 45.1270310726276, 7.709619896711446 45.1270430303661, 7.709592926560367 45.12704246446678, 7.709579223424972 45.12705748620729, 7.709590490233795 45.12706929759092, 7.709228510657703 45.12708390161771, 7.709004463561515 45.126883063736, 7.709014678911768 45.12684566974432, 7.709047557839333 45.12684359312807, 7.709052917555104 45.12682471444842, 7.709077095028564 45.12682562696139, 7.709084299138481 45.12680333954111, 7.709070524223351 45.12678772809019, 7.708989613481455 45.12676690165863, 7.709000192065863 45.12675454512255, 7.70908501209736 45.1267632906472, 7.709296749487756 45.12619372395484));19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
78;villaretto;6;4441;4359;POLYGON ((7.683316281587585 45.13113182060559, 7.683818944719562 45.13109331925333, 7.683772520762994 45.13091702142307, 7.684346182707251 45.13090056236448, 7.684361122808838 45.13095332039448, 7.68442443306751 45.13101006524622, 7.684451197496683 45.13132131603438, 7.685743139515155 45.13131352779032, 7.686213270016994 45.13130775168173, 7.686216044141692 45.13141204050653, 7.686577962776486 45.13140888880194, 7.686589959025092 45.13144926634035, 7.686222913492976 45.13145053011121, 7.686222641852408 45.13157490379701, 7.685780619403399 45.13157713255058, 7.685765408894448 45.13190311669497, 7.685897778978766 45.13187903335761, 7.685905846165753 45.13197789619795, 7.685683331406723 45.13198813802686, 7.685693912405266 45.13138769611488, 7.684292074501105 45.13140330911493, 7.684278199779312 45.13110757138278, 7.683548952566883 45.13116940072995, 7.683543715195573 45.13127805275496, 7.683515643059024 45.13127723194182, 7.683523498451657 45.13124104267578, 7.683523287999556 45.13121966969878, 7.68349594775702 45.13118705035107, 7.683464845652699 45.13116532143373, 7.683399341094943 45.13114319544101, 7.683370624039307 45.13113988232205, 7.683317253726805 45.13113976386909, 7.683316281587585 45.13113182060559));19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
9;Arquata;1;4605;8158;POLYGON ((7.666691708928965 45.0464160129028, 7.666627592235338 45.04638176849985, 7.666958766812145 45.04605990149555, 7.667038997046085 45.04599190343284, 7.667478818694073 45.04556570443299, 7.66755924454665 45.04553241878089, 7.667633520142614 45.04552119643473, 7.667717391193989 45.0455221752884, 7.669364785085959 45.04819467156977, 7.669208013126203 45.04824004892413, 7.669197009012461 45.04823051388625, 7.669182252359396 45.04822648299671, 7.668956124359312 45.04831141212819, 7.668385927550926 45.04857415567889, 7.668382353602484 45.04855744287708, 7.668391131872119 45.04854524897706, 7.668373095392253 45.04852292145659, 7.668347580993635 45.04852262383294, 7.668333659916412 45.04851457596978, 7.668317499599811 45.04849637840606, 7.668509556713624 45.04840957971018, 7.669020877292705 45.04817714189235, 7.669061679528697 45.04808453121716, 7.66844344174875 45.04708815379045, 7.668399276709679 45.04701544513436, 7.668440356108093 45.04701265669043, 7.668456211881185 45.0470079087124, 7.66848817327294 45.04699202446898, 7.668509927399088 45.04697058414671, 7.668520862070798 45.04694534494102, 7.668521260027639 45.04692819821346, 7.668511105865441 45.04690057332935, 7.66848720682384 45.04687609852245, 7.668453936910686 45.04685666181131, 7.668421347947846 45.04685396934293, 7.66838258021337 45.04685564153128, 7.668348456142271 45.04686513632775, 7.668318124845718 45.04688455658032, 7.668290455978132 45.04683978612508, 7.66767574499325 45.04584467870659, 7.667486773336273 45.0458295106486, 7.666978220785206 45.04632272579563, 7.666872205460311 45.04641838192761, 7.666847736989433 45.04640142506421, 7.66680643566399 45.04638809732918, 7.666774882656465 45.04638585648129, 7.666756392435976 45.04638758489949, 7.666721819689163 45.04639726300569, 7.666691708928965 45.0464160129028));3;Crocetta;Centro - Crocetta
10;Arquata;1;4605;3212;POLYGON ((7.665162525962024 45.04789110759422, 7.665106015337935 45.04786468793151, 7.666223558793514 45.04677555343, 7.666259386138194 45.04679439846452, 7.666485245498174 45.04654856356145, 7.666600529108342 45.04650435265111, 7.666678223219266 45.04650345942332, 7.666686288030795 45.04651267268212, 7.666713097616515 45.04653215939066, 7.666745380555306 45.04654389112979, 7.666696717005378 45.0465944577627, 7.666156464569493 45.04711954297067, 7.666097637975673 45.04717782563576, 7.666067373693174 45.0471567321238, 7.666020512399466 45.04714331213258, 7.665987750736699 45.04714292929371, 7.665937902475974 45.04715516516647, 7.665910537428148 45.04717266870298, 7.665892635429757 45.04719550379972, 7.665886107455533 45.04722121733111, 7.665887377928619 45.04723429362024, 7.665897512795182 45.04725715031238, 7.665924781958566 45.04728144947303, 7.665935572817808 45.047288110799, 7.665970104642162 45.0473005583329, 7.665888903036005 45.04737948157889, 7.665343762762253 45.04790933965273, 7.665274840295062 45.04797632779878, 7.665243275124349 45.04795873621914, 7.665223201917534 45.04793078533886, 7.665223723493042 45.0479083685642, 7.665162525962024 45.04789110759422));3;Crocetta;Centro - Crocetta
26;de nicola;1;3087;1904;POLYGON ((7.659086487098549 45.05101025631267, 7.659170691309209 45.05114889000112, 7.659159415875907 45.05117545653924, 7.659177066543611 45.05120293764871, 7.659064966765176 45.05123985234712, 7.659015879270463 45.05117492274995, 7.658131226457565 45.05144058190953, 7.658189781199671 45.05152257331942, 7.658100503878862 45.05155473110045, 7.658079901729128 45.05152560254511, 7.658032238195398 45.05151057655706, 7.657964540426852 45.05139601753575, 7.657934783897858 45.0513467436022, 7.658331285479004 45.05120651805372, 7.658511567478054 45.05114605231751, 7.65875734452422 45.05107164681353, 7.658799197397375 45.05106035541814, 7.658855491659718 45.05104618696669, 7.659034408531959 45.05100755168704, 7.659079857208641 45.05099835023295, 7.659086487098549 45.05101025631267));3;Crocetta;Centro - Crocetta
31;magenta;1;;828;POLYGON ((7.669411214387482 45.06509518845057, 7.669995555366218 45.06488729034832, 7.670035221736657 45.06480414509311, 7.670067741783922 45.06480620726393, 7.6702004774935 45.06499897573281, 7.670182678679362 45.06501828398748, 7.670059624597499 45.06498583976781, 7.669414527272468 45.06521624532602, 7.669404212590478 45.06519766270514, 7.669456921565495 45.06515571722664, 7.669411214387482 45.06509518845057));3;Crocetta;Centro - Crocetta
