ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
6;Brunelleschi;corso Brunelleschi tra corso Peschiera e via Vandalino;dal lunedi al sabato;3;POLYGON ((7.623673313959062 45.07442200165491, 7.623259807733899 45.07359485290387, 7.623040303323043 45.07283938176047, 7.622908224515516 45.07193638110513, 7.623341217469663 45.07195150908465, 7.623384750946574 45.07246712404958, 7.623551448161342 45.07309318539005, 7.624081702579324 45.07429815216299, 7.623673313959062 45.07442200165491));45.0731974756606;7.623419641187166;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
26;Michele Rua;via Michele Rua;dal lunedi al sabato;3;POLYGON ((7.612180850711622 45.07252829840649, 7.612255289734311 45.07145026705417, 7.612520890795012 45.0714608352003, 7.612436101527073 45.07253874092786, 7.612180850711622 45.07252829840649));45.07199097285835;7.612348552182436;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
4;Benefica;piazza Martini - Benefica;dal lunedi al sabato;3;POLYGON ((7.661863968678887 45.07315609213316, 7.66113732738968 45.07341606147879, 7.661090387406332 45.0735152321824, 7.661414124857835 45.07398358368292, 7.66155914701883 45.07402055133756, 7.662343086529547 45.07374395347471, 7.662353027611983 45.07368569656376, 7.662001970222345 45.07319125160884, 7.661868612396892 45.07315813608209, 7.661815953808015 45.07306440069192, 7.661847683948156 45.0730543834233, 7.661856639617387 45.07304294482731, 7.661874592961158 45.07303207956838, 7.661998905532506 45.07300432793065, 7.662080644502488 45.07303449465543, 7.662596939307248 45.0737634603952, 7.661399407814895 45.07418390437426, 7.660935763888904 45.07351761941702, 7.66100661105303 45.07335232578848, 7.661811967924206 45.07306603084876, 7.661819396593697 45.07307889674408, 7.661863968678887 45.07315609213316));45.07358134391437;7.661757326767732;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
35;S.Paolo-Racconigi;corso Racconigi tra corsi Vittorio e Peschiera;dal lunedi al sabato;3;MULTIPOLYGON (((7.644820301701301 45.06624020392442, 7.644888481316854 45.06459612602363, 7.645215451886777 45.06461385855462, 7.645146078058448 45.06610209106989, 7.644820301701301 45.06624020392442)), ((7.644990809079286 45.06667578549192, 7.645257310585309 45.06656467209914, 7.64793571032228 45.07354407809827, 7.647664703695971 45.07363782966839, 7.644990809079286 45.06667578549192)));45.06920072204617;7.646184510450476;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
3;Barcellona;piazza Barcellona;dal lunedi al sabato;4;POLYGON ((7.663891888855913 45.08187470961889, 7.663902510861515 45.08182760374921, 7.664754513166316 45.08150246284805, 7.664824176267006 45.08151002481002, 7.665163482868191 45.08193456641013, 7.665153019002426 45.08197492707309, 7.664225052864273 45.08229018586968, 7.664165172067475 45.0822714927255, 7.663891888855913 45.08187470961889));45.081897549290034;7.664518141226439;6;San Donato;San Donato - Campidoglio - Parella
39;Svizzera;corso Svizzera tra piazza Perotti e via Bianze';dal lunedi al sabato;4;POLYGON ((7.65111929650469 45.08270374726127, 7.649762279830877 45.07913408411454, 7.65005938182281 45.07907028017659, 7.651421605086691 45.08264374119737, 7.65111929650469 45.08270374726127));45.080891419180695;7.650591990514954;6;San Donato;San Donato - Campidoglio - Parella
12;Chironi;piazza Chironi;dal lunedi al sabato;4;POLYGON ((7.641345533798941 45.07959650641502, 7.641341976999133 45.07959646408359, 7.642333381635992 45.07957296936547, 7.64233674658567 45.07965619218233, 7.64161245924713 45.07966774158063, 7.64134632635515 45.07963810724215, 7.641345533798941 45.07959650641502));45.07962210528632;7.641873702775904;14;Parella;San Donato - Campidoglio - Parella
7;Campanella;piazza Campanella;dal lunedi al sabato;4;POLYGON ((7.632766708319864 45.08199782874857, 7.63288137426764 45.08262657369956, 7.632491730009096 45.0826532753734, 7.632398772632127 45.08204271499569, 7.632411900691488 45.08202270675147, 7.632766708319864 45.08199782874857));45.082328145834005;7.632634536295732;14;Parella;San Donato - Campidoglio - Parella
13;Cincinnato;corso Cincinnato tra corso Toscana e via ValdellaTorre;dal lunedi al sabato;5;POLYGON ((7.644670388800415 45.10042945063557, 7.644670303824432 45.10043304081633, 7.642416584783781 45.09924990082282, 7.642774482582803 45.09912487382307, 7.642890730485285 45.09914062056475, 7.645075016098239 45.10025828585882, 7.645084304917406 45.10029430793065, 7.645073486996688 45.1003229089988, 7.644670388800415 45.10042945063557));45.09977966290721;7.643780717134299;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
23;Lucento;corso Toscana, vie Forli', Borgomasino;dal lunedi al sabato;5;POLYGON ((7.655785747425888 45.0964236322679, 7.656276778597254 45.09710624407195, 7.655871254604089 45.09721197307344, 7.655373404368836 45.09654309208794, 7.655785747425888 45.0964236322679));45.09681916531809;7.655825879356346;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
41;Vallette;piazzale don Pollarolo, vie delle Verbene, dei Mughetti;dal lunedi al sabato;5;POLYGON ((7.631181646313723 45.10416092414531, 7.631172572583915 45.10351700199887, 7.63163366701811 45.10351853101724, 7.631643029934859 45.10407181620946, 7.631569613871001 45.10407226913447, 7.631571306952607 45.10415893097027, 7.631181646313723 45.10416092414531));45.10383291054802;7.631403501825248;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
10;Cena;via Cena, angolo via Bollengo;dal lunedi al sabato;6;POLYGON ((7.701831706644713 45.10889642466578, 7.701789515293591 45.10872993663219, 7.702179089285853 45.10867903009179, 7.702218947107985 45.10884711898735, 7.701831706644713 45.10889642466578));45.10878800130052;7.7020050351045715;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
18;Falchera Nuova;via degli Abeti;dal lunedi al sabato;6;POLYGON ((7.710428696422785 45.13000704831439, 7.710390046421981 45.12984708163688, 7.711167017707164 45.12974617912347, 7.711205220658278 45.12992608175389, 7.710428696422785 45.13000704831439));45.129880645898105;7.710805103846048;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
19;Falchera Vecchia;viale Falchera, via dei Pioppi;mercoledi, venerdi;6;POLYGON ((7.709286906358001 45.12619039121751, 7.709006089219486 45.12615062326493, 7.709040818562402 45.12564237832494, 7.709095244563397 45.12563567525565, 7.709388905773215 45.12590795145611, 7.709400257096362 45.12597760579868, 7.709368796756528 45.12599737607868, 7.709411195800196 45.12606555179304, 7.709286906358001 45.12619039121751));45.12595092577544;7.709182907355731;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
32;Porpora;via Porpora;dal lunedi al sabato;6;POLYGON ((7.695355356450261 45.10182718538631, 7.69696322275518 45.09998325948524, 7.697171788655755 45.09990612640804, 7.697241915309276 45.09994040606691, 7.695428913458215 45.10197031327866, 7.695355356450261 45.10182718538631));45.100886878595254;7.6962876099638375;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
