Categoria criminologa,Sottocategoria Criminologica,CIRCOSCRIZ,Localita,Area Verde,Data,Ora
Convivenza Civile,Altro,7,PISA/(VIA),,2016-02-21,
Convivenza Civile,Altro,4,COSSA/PIETRO (VIA),,2016-02-22,
Convivenza Civile,Altro,4,CAPELLI/CARLO (VIA),,2016-02-23,
Convivenza Civile,Altro,6,MERCADANTE/SAVERIO (VIA),,2016-02-23,
Convivenza Civile,Altro,6,MONTANARO/(VIA),Area Verde,2016-02-23,
Convivenza Civile,Altro,2,BALTIMORA/(VIA),,2016-02-24,
Convivenza Civile,Altro,3,INGHILTERRA/(CORSO),,2016-02-24,
Convivenza Civile,Altro,7,GUASTALLA/(VIA),,2016-02-24,
Convivenza Civile,Altro,8,MARTIRI DELLA LIBERTA'/(VIA),,2016-02-24,
Convivenza Civile,Altro,4,MURRONI/(STRADA),,2016-02-25,
Convivenza Civile,Altro,1,PO/(VIA),,2016-02-29,
Convivenza Civile,Altro,5,SANSOVINO/ANDREA (VIA),,2016-02-29,
Convivenza Civile,Altro,4,TALUCCHI/GIUSEPPE (VIA),,2016-03-01,
Convivenza Civile,Altro,1,ORFANE/(VIA DELLE),,2016-03-03,
Convivenza Civile,Altro,7,CUNEO/(VIA),,2016-03-03,
Convivenza Civile,Altro,4,PIANEZZA/(VIA),,2016-03-04,
Convivenza Civile,Altro,5,LUCENTO/(VIA),,2016-03-04,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2016-03-07,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2016-03-07,
Convivenza Civile,Altro,10,RISMONDO/FRANCESCO (VIA),,2016-03-07,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2016-03-09,
Convivenza Civile,Altro,1,BELLEZIA/GIAN FRANCESCO (VIA),,2016-03-10,
Convivenza Civile,Altro,6,DERNA/(PIAZZA),,2016-03-10,7.59
Convivenza Civile,Altro,1,BERTOLA/ANTONIO GIUSEPPE (VIA),,2016-03-10,8.36
Convivenza Civile,Altro,7,FIRENZE/(LUNGO DORA),,2016-03-10,10.44
Convivenza Civile,Altro,5,CHIESA DELLA SALUTE/(VIA),,2016-03-11,
Convivenza Civile,Altro,5,FORLI'/(VIA),,2016-03-11,
Convivenza Civile,Altro,10,PISACANE/CARLO (VIA),,2016-03-11,
Convivenza Civile,Altro,4,LECCE/(CORSO),,2016-03-11,10.14
Convivenza Civile,Altro,1,MARIA VITTORIA/(VIA),,2016-03-14,
Convivenza Civile,Altro,1,VITTORIO VENETO/(PIAZZA),,2016-03-14,
Convivenza Civile,Altro,6,LEINI'/(VIA),,2016-03-14,
Convivenza Civile,Altro,6,CIMAROSA/DOMENICO (PIAZZA),,2016-03-15,
Convivenza Civile,Altro,7,BORGO DORA/(VIA),,2016-03-15,
Convivenza Civile,Altro,8,TADINI/(STRADA DEI),,2016-03-15,
Convivenza Civile,Altro,9,PIO VII/(VIA),,2016-03-15,
Convivenza Civile,Altro,1,ARCIVESCOVADO/(VIA DELL'),,2016-03-15,10.15
Convivenza Civile,Altro,3,FRANCIA/(CORSO),,2016-03-16,
Convivenza Civile,Altro,4,BORGOMANERO/(VIA),,2016-03-16,
Convivenza Civile,Altro,4,FRANCIA/(CORSO),,2016-03-16,
Convivenza Civile,Altro,5,CARROCCIO/ALESSANDRO (VIA),,2016-03-16,
Convivenza Civile,Altro,1,PRINCIPE AMEDEO/(VIA),,2016-03-17,
Convivenza Civile,Altro,6,SEMPIONE/(LARGO),Area Verde,2016-03-18,
Convivenza Civile,Altro,1,ORFANE/(VIA DELLE),,2016-03-22,
Convivenza Civile,Altro,5,MOSCA/GAETANO (VIA),,2016-03-22,
Convivenza Civile,Altro,7,GUASTALLA/(VIA),,2016-03-22,13.23
Convivenza Civile,Altro,6,CIMAROSA/DOMENICO (VIA),,2016-03-23,
Convivenza Civile,Altro,6,MADDALENE/(VIA),,2016-03-23,
Convivenza Civile,Altro,2,VEGLIA/(VIA),,2016-03-24,
Convivenza Civile,Altro,3,THURES/(VIA),,2016-03-24,
Convivenza Civile,Altro,9,VENTIMIGLIA/(VIA),,2016-03-24,
Convivenza Civile,Altro,5,CINCINNATO/L. QUINZIO (CORSO),,2016-03-26,15.04
Convivenza Civile,Altro,7,CASALE/(CORSO),,2016-03-30,
Convivenza Civile,Altro,10,DE MAISTRE FRATELLI/(VIA),,2016-03-31,
Convivenza Civile,Altro,7,RICASOLI/BETTINO (VIA),,2016-03-31,8.34
Convivenza Civile,Altro,9,UNITA' D'ITALIA/(CORSO),,2016-04-01,
Convivenza Civile,Altro,1,DE NICOLA/ENRICO (CORSO),,2016-04-04,
Convivenza Civile,Altro,4,PINELLI/PIERDIONIGI (VIA),,2016-04-04,
Convivenza Civile,Altro,7,SELLA/QUINTINO (CORSO),,2016-04-04,
Convivenza Civile,Altro,1,MATTEOTTI/GIACOMO (CORSO),,2016-04-05,
Convivenza Civile,Altro,3,BRUNELLESCHI/FILIPPO (CORSO),,2016-04-05,
Convivenza Civile,Altro,5,CUNIBERTI/VITTORIO (VIA),,2016-04-05,
Convivenza Civile,Altro,7,PARMA/(VIA),,2016-04-05,
Convivenza Civile,Altro,9,NIZZA/(VIA),,2016-04-06,
Convivenza Civile,Altro,,,Area Verde,2016-04-07,
Convivenza Civile,Altro,6,FAVRIA/(VIA),,2016-04-07,
Convivenza Civile,Altro,8,BIDONE/GIORGIO (VIA),,2016-04-08,
Convivenza Civile,Altro,1,PORTA PALATINA/(VIA),,2016-04-09,
Convivenza Civile,Altro,7,MODENA/(VIA),,2016-04-10,
Convivenza Civile,Altro,1,CABOTO/SEBASTIANO (VIA),,2016-04-11,
Convivenza Civile,Altro,1,STATUTO/(PIAZZA),,2016-04-11,
Convivenza Civile,Altro,6,DERNA/(PIAZZA),,2016-04-12,
Convivenza Civile,Altro,8,SEI VILLE/(STRADA ALLE),,2016-04-13,
Convivenza Civile,Altro,10,UNIONE SOVIETICA/(CORSO),,2016-04-13,
Convivenza Civile,Altro,3,ADRIANO/(PIAZZA),,2016-04-14,
Convivenza Civile,Altro,6,CERIGNOLA/(PIAZZETTA),,2016-04-14,
Convivenza Civile,Altro,,,,2016-04-15,
Convivenza Civile,Altro,3,FRANCIA/(CORSO),,2016-04-15,
Convivenza Civile,Altro,4,UMBRIA/(CORSO),,2016-04-15,
Convivenza Civile,Altro,5,VENARIA/(STRADA),,2016-04-15,
Convivenza Civile,Altro,6,RESPIGHI/OTTORINO (PIAZZA),,2016-04-15,
Convivenza Civile,Altro,1,MONTEVECCHIO/RODOLFO (VIA),,2016-04-18,
Convivenza Civile,Altro,2,AGNELLI/GIOVANNI (CORSO),,2016-04-19,
Convivenza Civile,Altro,2,GORIZIA/(VIA),,2016-04-20,
Convivenza Civile,Altro,5,VAL DELLA TORRE/(VIA),,2016-04-20,
Convivenza Civile,Altro,8,MONCALIERI/(CORSO),Area Verde,2016-04-20,
Convivenza Civile,Altro,3,VITTORIO EMANUELE II/(CORSO),,2016-04-20,10.42
Convivenza Civile,Altro,1,GIOLITTI/GIOVANNI (VIA),,2016-04-21,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO),,2016-04-21,
Convivenza Civile,Altro,4,PACCHIOTTI/GIACINTO (VIA),,2016-04-21,
Convivenza Civile,Altro,5,DURANDO/GIACOMO (VIA),,2016-04-21,
Convivenza Civile,Altro,6,BELLACOMBA/(STRADA),,2016-04-21,
Convivenza Civile,Altro,1,REGINA MARGHERITA/(CORSO),,2016-04-22,
Convivenza Civile,Altro,7,S. GIULIA/(VIA),,2016-04-25,
Convivenza Civile,Altro,1,BAVA/EUSEBIO (VIA),,2016-04-26,
Convivenza Civile,Altro,1,CAPPEL VERDE/(VIA),,2016-04-26,
Convivenza Civile,Altro,2,LESEGNO/(VIA),,2016-04-26,
Convivenza Civile,Altro,2,ORBASSANO/(CORSO),,2016-04-26,
Convivenza Civile,Altro,5,MONTESOGLIO/(VIA),,2016-04-26,
Convivenza Civile,Altro,5,QUINCINETTO/(VIA),,2016-04-26,
Convivenza Civile,Altro,5,CAMPIGLIA/(VIA),,2016-04-27,
