DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;QUARTIERE;geometry;LATITUDE;LONGITUDE
AGENZIE VIAGGIO;;VIA MAGENTA 5;No;373;10;1;41;10128;;POINT (7.676047509391 45.06271301221898);45.06271301221898;7.676047509391
AGENZIE VIAGGIO;BLU TANGO;VIA MADONNA DELLE ROSE 69;No;3450;56;8;797;10134;;POINT (7.657087238684004 45.03415009388968);45.03415009388968;7.657087238684004
AGENZIE AFFARI;PUBLIKOMPASS;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;;POINT (7.671631991482606 45.04914499939517);45.04914499939517;7.671631991482606
AGENZIE VIAGGIO;ALPITORUR INCOMING;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;;POINT (7.671631991482606 45.04914499939517);45.04914499939517;7.671631991482606
AGENZIE VIAGGIO;ALPITOUR;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;;POINT (7.671631991482606 45.04914499939517);45.04914499939517;7.671631991482606
AGENZIE AFFARI;;VIA LEINI' 56;No;1638;38;6;564;10155;;POINT (7.69202040295477 45.09339539604886);45.09339539604886;7.69202040295477
AGENZIE AFFARI;;VIA LEVONE 10;No;3595;90;2;877;10135;;POINT (7.621965858569548 45.01995904628998);45.01995904628998;7.621965858569548
AGENZIE AFFARI;;VIA MARIA VITTORIA 10/D;No;117;04;1;0;10123;;POINT (7.685408751630725 45.06748018286234);45.06748018286234;7.6854087516307255
AGENZIE VIAGGIO;;CORSO GUGLIELMO MARCONI 33;No;361;09;8;733;10125;;POINT (7.683569731433609 45.05526002908802);45.055260029088025;7.683569731433609
AGENZIE VIAGGIO;AVANTI TUTTA;CORSO GUGLIELMO MARCONI 19/B;No;359;09;8;0;10125;;POINT (7.68111447657082 45.05603438642033);45.05603438642033;7.68111447657082
AGENZIE VIAGGIO;LM TOUR;VIA MADAMA CRISTINA 163;No;938;20;8;768;10126;;POINT (7.672960893266094 45.04335890567789);45.04335890567789;7.672960893266094
AGENZIE AFFARI;IL MERCANTICO;VIA LOMBRIASCO 7;No;1428;33;3;230;10139;;POINT (7.652045518293701 45.07051821107116);45.07051821107116;7.652045518293701
AGENZIE AFFARI;;VIA MANTOVA 34;No;1022;23;7;690;10153;;POINT (7.698290499354146 45.07524329699012);45.075243296990124;7.698290499354146
AGENZIE AFFARI;ANGELUS;VIA MADAMA CRISTINA 85/F;No;872;19;8;0;10126;;POINT (7.678021045665116 45.05056663560921);45.05056663560921;7.678021045665116
AGENZIE AFFARI;;VIA ISONZO 43/B;No;1525;34;3;0;10141;;POINT (7.639521282490423 45.06516997086783);45.06516997086783;7.639521282490423
AGENZIE VIAGGIO;AUTHENTIC TRAVEL INTERNATIONAL;CORSO INGHILTERRA 57;No;728;17;3;195;10138;;POINT (7.667599204246963 45.07591778095028);45.07591778095028;7.6675992042469625
AGENZIE VIAGGIO;A.T.B. TRAVEL;CORSO INGHILTERRA 57;No;728;17;3;195;10138;;POINT (7.667599204246963 45.07591778095028);45.07591778095028;7.6675992042469625
AGENZIE AFFARI;GB CAR;CORSO GROSSETO 75;No;1823;43;5;433;10147;;POINT (7.686194165803456 45.10376883437801);45.10376883437801;7.686194165803456
AGENZIE VIAGGIO;FRANCO ROSSO ITALIA;CORSO INGHILTERRA 17;No;756;17;3;200;10138;;POINT (7.66463894133135 45.07170284676557);45.07170284676557;7.66463894133135
TRATTENIMENTI;THE SHANNON INN;VIA GIUSEPPE LUIGI LAGRANGE 42;No;149;04;1;16;10123;;POINT (7.680351218988773 45.06279731093981);45.06279731093981;7.680351218988773
AGENZIE AFFARI;;VIA LA THUILE 25 bis/B;No;2406;63;3;0;10142;;POINT (7.621580029953386 45.06267022331423);45.06267022331423;7.621580029953386
AGENZIE AFFARI;;PIAZZA GRAN MADRE DI DIO 5/C;No;525;13;8;0;10131;;POINT (7.699581621703054 45.06258021391882);45.06258021391882;7.699581621703054
AGENZIE VIAGGIO;MONDO INVERSO;STRADA LANZO 161;No;2427;66;5;527;10148;;POINT (7.65727379466818 45.11709931571644);45.117099315716445;7.65727379466818
AGENZIE AFFARI;;CORSO LUIGI KOSSUTH 49 int. 12;No;2494;71;7;711;10132;;POINT (7.727428800501348 45.06965605045148);45.06965605045148;7.727428800501348
AGENZIE AFFARI;;VIA GIACOMO GROSSO 7/B;No;3355;43;5;0;10148;;POINT (7.683638466310441 45.10480430030596);45.10480430030596;7.683638466310441
AGENZIE AFFARI;;CORSO GROSSETO 437;No;2421;65;5;521;10151;;POINT (7.641953113409504 45.1062952237186);45.1062952237186;7.641953113409504
AGENZIE AFFARI;;VIA LANZO 73 bis/A;No;1902;46;5;0;10148;;POINT (7.660014182802592 45.11149552519812);45.111495525198116;7.660014182802592
AGENZIE AFFARI;;VIA TOMMASO GROSSI 2/A;No;918;20;8;0;10126;;POINT (7.671620883899111 45.04739659963716);45.04739659963716;7.671620883899111
AGENZIE AFFARI;;CORSO GROSSETO 247;No;1873;45;5;453;10147;;POINT (7.667141930317737 45.10486271360922);45.104862713609215;7.667141930317737
AGENZIE AFFARI;;VIA ISSIGLIO 76/A;No;1533;34;3;0;10141;;POINT (7.639683544545664 45.06209139303596);45.062091393035956;7.639683544545664
AGENZIE AFFARI;;CORSO GROSSETO 151/C;No;2675;43;5;0;10147;;POINT (7.676786923823807 45.10430923416327);45.104309234163274;7.676786923823807
AGENZIE AFFARI;;STRADA DELLE GHIACCIAIE 52;No;1311;30;5;415;10143;;POINT (7.65166914175468 45.08877098893012);45.08877098893012;7.65166914175468
AGENZIE VIAGGIO;WELCOME;VIA GIUSEPPE GARIBALDI 45;No;187;05;1;23;10122;;POINT (7.675646518870985 45.07448222306297);45.074482223062965;7.675646518870985
AGENZIE VIAGGIO;VERTIGO TRAVEL;VIA GIUSEPPE GARIBALDI 59;No;192;05;1;22;10122;;POINT (7.672677775294132 45.07546875510101);45.075468755101014;7.672677775294132
AGENZIE AFFARI;;VIA ANASTASIO GERMONIO 1;No;2385;63;3;315;10142;;POINT (7.611055137249041 45.07389260112328);45.073892601123276;7.611055137249041
AGENZIE AFFARI;;VIA ANASTASIO GERMONIO 9;No;2385;63;3;315;10142;;POINT (7.61109777397137 45.07337612848416);45.07337612848416;7.61109777397137
AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 39;No;237;06;1;29;10123;;POINT (7.691168880504378 45.06385659909783);45.063856599097825;7.691168880504378
AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 51;No;239;06;1;29;10123;;POINT (7.693918877585832 45.06285850320973);45.06285850320973;7.6939188775858325
AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 51;No;239;06;1;29;10123;;POINT (7.693918877585832 45.06285850320973);45.06285850320973;7.6939188775858325
AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 6/C;No;125;04;1;0;10123;;POINT (7.683717088180041 45.06645770773019);45.066457707730194;7.683717088180041
AGENZIE AFFARI;;VIA ANTONIO GENOVESI 2;No;1210;27;1;74;10128;;POINT (7.669797038529512 45.05400570074671);45.054005700746714;7.669797038529512
AGENZIE AFFARI;;VIA VINCENZO GIOBERTI 64/A;No;401;10;1;0;10128;;POINT (7.671264058027869 45.05767451090901);45.05767451090901;7.6712640580278695
AGENZIE AFFARI;;VIA LUIGI GALVANI 12 bis/A;No;663;16;4;0;10144;;POINT (7.661286931837969 45.08106291903535);45.081062919035354;7.661286931837969
AGENZIE VIAGGIO;GIOEMA;VIA VINCENZO GIOBERTI 73;No;406;10;1;46;10128;;POINT (7.670653817009359 45.05658526188797);45.056585261887975;7.670653817009359
TRATTENIMENTI;CAFFETTERIA PICCADILLY;VIA VINCENZO GIOBERTI 1/C;No;367;10;1;0;10128;;POINT (7.675627210674101 45.06353424625064);45.06353424625064;7.675627210674101
AGENZIE AFFARI;;VIA GENOVA 23/C;No;2230;57;8;0;10126;;POINT (7.672201769500901 45.03953869047454);45.039538690474544;7.672201769500901
AGENZIE VIAGGIO;MUG VIAGGI;VIA ERRICO GIACHINO 73;No;1852;44;5;450;10149;;POINT (7.673031758410065 45.09451207476875);45.09451207476875;7.673031758410065
AGENZIE AFFARI;;PIAZZA TANCREDI GALIMBERTI 4/E;No;2219;56;8;0;10134;;POINT (7.653599677352976 45.03291081519885);45.032910815198846;7.653599677352976
AGENZIE VIAGGIO;AL IHSSAN;CORSO GIULIO CESARE 12/L;No;471;12;7;0;10152;;POINT (7.686262621990969 45.08031968470203);45.080319684702026;7.686262621990969
TRATTENIMENTI;BIRRERIA MANHATTAN;VIA ERRICO GIACHINO 46;No;1856;44;5;451;10149;;POINT (7.674833143494647 45.09269029742173);45.09269029742173;7.674833143494647
AGENZIE VIAGGIO;SEPT JOUR;VIA FILADELFIA 155 int. 15;No;3621;55;2;111;10137;;POINT (7.64156204412827 45.04181438926068);45.04181438926068;7.64156204412827
AGENZIE AFFARI;;VIA ANTONIO FONTANESI 20/G;No;969;22;7;0;10153;;POINT (7.707772406300505 45.07250065203063);45.07250065203063;7.707772406300505
AGENZIE VIAGGIO;QUATTRO PASSI;VIA FILADELFIA 121/B;No;2910;55;2;0;10137;;POINT (7.645900477459701 45.04161932262694);45.041619322626936;7.645900477459701
AGENZIE VIAGGIO;;VIA GIOVANNI FATTORI 4;No;3662;51;3;271;10141;;POINT (7.637151788939534 45.06796264414829);45.06796264414829;7.637151788939534
AGENZIE VIAGGIO;;VIA FREJUS 9;No;1428;33;3;230;10139;;POINT (7.652161118741022 45.07105788352371);45.07105788352371;7.652161118741022
AGENZIE VIAGGIO;ARCHÈ TRAVEL;VIA FRASSINETO 49;No;1415;32;3;224;10139;;POINT (7.639519252768798 45.06924642621661);45.06924642621661;7.639519252768798
AGENZIE AFFARI;TEBUS;VIA FIDIA 19;No;2067;51;3;274;10141;;POINT (7.621705985665658 45.07245056325557);45.07245056325557;7.621705985665658
AGENZIE VIAGGIO;SANCARLO VIAGGI;CORSO FRANCESCO FERRUCCI 91;No;770;17bis;3;202;10138;;POINT (7.655287534638014 45.06684200503076);45.06684200503076;7.655287534638014
AGENZIE AFFARI;;VIA PIO FOA' 83/C;No;941;20;8;0;10126;;POINT (7.676195983659118 45.04290871907406);45.042908719074056;7.6761959836591185
AGENZIE AFFARI;;STRADA DEL FRANCESE 4;No;2538;76;6;613;10156;;POINT (7.657071996752613 45.13471958495182);45.134719584951824;7.657071996752613
AGENZIE AFFARI;;LUNGO DORA FIRENZE 129;No;1022;23;7;690;10153;;POINT (7.698013626323074 45.07454629306476);45.074546293064756;7.698013626323074
AGENZIE AFFARI;;CORSO GALILEO FERRARIS 70;No;817;18;1;52;10129;;POINT (7.666030131430117 45.05899259804362);45.05899259804362;7.666030131430117
TRATTENIMENTI;PEKOE;VIA GAUDENZIO FERRARI 13/E;No;212;06;1;0;10124;;POINT (7.694330094787443 45.06902644206811);45.06902644206811;7.694330094787443
AGENZIE VIAGGIO;SPADARO GRUPPO INCENTIVE TRAVEL;VIA GAETANO FILANGIERI 14;No;1207;27;1;73;10128;;POINT (7.668592514327981 45.05524782415205);45.055247824152055;7.668592514327981
AGENZIE AFFARI;;VIA ERASMO DA ROTTERDAM 12;No;2919;56;8;804;10134;;POINT (7.658938542679478 45.03977321773434);45.03977321773434;7.658938542679478
AGENZIE AFFARI;;VIA CRISSOLO 12/D;No;1466;33;3;0;10138;;POINT (7.651332914828423 45.06578677206334);45.06578677206334;7.651332914828423
AGENZIE AFFARI;;VIA ANDREA DORIA 10;No;110;03;1;12;10123;;POINT (7.684744295733484 45.06386060627469);45.063860606274694;7.684744295733484
AGENZIE AFFARI;;VIA ANDREA DORIA 19;No;108;03;1;12;10123;;POINT (7.685013468569282 45.06394879986477);45.06394879986477;7.685013468569282
AGENZIE AFFARI;;VIA CRIMEA 10;No;608;15;8;743;10133;;POINT (7.696091145658493 45.05575083052835);45.05575083052835;7.696091145658493
AGENZIE AFFARI;;VIA DOMODOSSOLA 37;No;1346;30;4;375;10145;;POINT (7.642728727909157 45.07907145895145);45.079071458951454;7.642728727909157
AGENZIE VIAGGIO;;VIA DOMODOSSOLA 49/B;No;1338;30;4;0;10145;;POINT (7.642693542767883 45.08041157297915);45.08041157297915;7.642693542767883
AGENZIE VIAGGIO;ANTARCTICA TRAVEL COMPANY;CORSO MASSIMO D'AZEGLIO 60;No;881;19;8;754;10126;;POINT (7.679873414933672 45.04874884848989);45.048748848489886;7.679873414933672
