DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;QUARTIERE;geometry;LATITUDE;LONGITUDE
AGENZIE AFFARI;;CORSO ALCIDE DE GASPERI 40;No;1177;26;1;63;10129;;POINT (7.658998609719517 45.0552780068455);45.0552780068455;7.658998609719517
AGENZIE AFFARI;;CORSO ALCIDE DE GASPERI 71;No;1191;26;1;67;10129;;POINT (7.656816273679246 45.05327819350055);45.053278193500546;7.656816273679246
AGENZIE AFFARI;;VIA PIETRO COSSA 18;No;3819;50;4;387;10146;;POINT (7.620418936641081 45.07630450764619);45.07630450764619;7.620418936641081
AGENZIE AFFARI;;PIAZZA FRANCESCO CRISPI 52/E;No;1686;38;6;0;10155;;POINT (7.689013655761554 45.08913489052858);45.089134890528584;7.6890136557615545
AGENZIE AFFARI;OROLOGIANDO;VIA GIOVANNI DA VERAZZANO 61/B;No;1182;26;1;0;10129;;POINT (7.655315340538203 45.05532411190781);45.05532411190781;7.655315340538203
AGENZIE AFFARI;INFORTUNISTICA ITALIANA;VIA GIOVANNI DA VERAZZANO 57/C;No;1182;26;1;0;10129;;POINT (7.655470013698396 45.05554453929615);45.05554453929615;7.655470013698396
TRATTENIMENTI;LUCAS PUB;VIA CRISTALLIERA 11;No;1377;32;3;211;10139;;POINT (7.640172077284435 45.07457253884093);45.074572538840926;7.640172077284435
AGENZIE AFFARI;;CORSO BENEDETTO CROCE 5/D;No;2370;61;8;0;10135;;POINT (7.646642911069035 45.02235708654191);45.02235708654191;7.646642911069035
AGENZIE AFFARI;EVENTIME;VIA COSTIGLIOLE 8;No;1536;34;3;255;10141;;POINT (7.643605808314224 45.06388357559146);45.06388357559146;7.6436058083142235
AGENZIE VIAGGIO;LALLA VIAGGI;CORSO DANTE 45;No;897;20;8;756;10126;;POINT (7.671911489645302 45.04788383027651);45.04788383027651;7.671911489645302
AGENZIE AFFARI;RED PUBBLICITA';VIA NINO COSTA 3;No;3123;03;1;12;10123;;POINT (7.685745408548439 45.06518507271227);45.065185072712275;7.685745408548439
AGENZIE VIAGGIO;SPRINGER VIAGGI;CORSO MASSIMO D'AZEGLIO 76;No;894;20;8;760;10126;;POINT (7.678922684707177 45.04746070066837);45.047460700668374;7.678922684707177
TRATTENIMENTI;RITUAL CAFE';PIAZZA EMANUELE FILIBERTO 5/B;No;3107;01;1;0;10122;;POINT (7.681393762991999 45.07612006074821);45.07612006074821;7.681393762991999
AGENZIE AFFARI;;LARGO LUCA DELLA ROBBIA 25/B;No;2086;51;3;0;10141;;POINT (7.620654766217593 45.07023929517762);45.07023929517762;7.6206547662175925
AGENZIE AFFARI;;CORSO DUCA D'AOSTA 1;No;810;18;1;52;10129;;POINT (7.666675205912831 45.06068184296482);45.06068184296482;7.666675205912831
AGENZIE VIAGGIO;JUVENTUS TRAVEL;VIA DRUENTO 175;No;2420;65;5;0;10151;;POINT (7.63408923135052 45.1120151656444);45.1120151656444;7.63408923135052
AGENZIE AFFARI;;VIA NICOLA FABRIZI 95;No;1337;30;4;375;10145;;POINT (7.641808290039251 45.08113848489337);45.08113848489337;7.6418082900392506
AGENZIE AFFARI;;VIA GIOVANNI FATTORI 3 scala C;No;2085;51;3;271;10141;;POINT (7.636792435645859 45.0677400540784);45.0677400540784;7.636792435645859
AGENZIE AFFARI;;VIA DANTE DI NANNI 8 bis/A;No;1436;33;3;0;10138;;POINT (7.653715754061039 45.06982210059473);45.06982210059473;7.653715754061039
AGENZIE VIAGGIO;LM TOUR;CORSO DUCA DEGLI ABRUZZI 53/E;No;1163;26;1;0;10129;;POINT (7.659701338924503 45.05755357297085);45.057553572970846;7.659701338924503
AGENZIE VIAGGIO;;CORSO DUCA DEGLI ABRUZZI 40;No;1149;26;1;54;10129;;POINT (7.660458082336042 45.0597271577636);45.059727157763604;7.660458082336042
AGENZIE AFFARI;;STRADA DEL DROSSO 128 int. 16;No;3072;91;2;901;10135;;POINT (7.612994872484065 45.01719131825383);45.01719131825383;7.612994872484065
AGENZIE AFFARI;;VIA LUISA DEL CARRETTO 74 scala C;No;570;13;8;738;10131;;POINT (7.711822247000113 45.06326386564178);45.06326386564178;7.7118222470001125
AGENZIE AFFARI;;VIA NICOLA FABRIZI 138;No;1323;30;4;373;10145;;POINT (7.639530061727901 45.0814611424147);45.0814611424147;7.639530061727901
AGENZIE AFFARI;;CORSO EMILIA 13;No;1099;24;7;696;10152;;POINT (7.685393595184838 45.08352403691082);45.08352403691082;7.685393595184838
AGENZIE VIAGGIO;VIVI DREAM;CORSO LUIGI EINAUDI 25;No;1151;26;1;56;10129;;POINT (7.664272653932523 45.05873876966836);45.05873876966836;7.664272653932523
AGENZIE VIAGGIO;DIARIO DI BORDO;VIA NICOLA FABRIZI 90;No;1330;30;4;370;10145;;POINT (7.64465680456516 45.08110863491803);45.08110863491803;7.64465680456516
TRATTENIMENTI;TROCADERO (NUOVO TROCADERO);VIA ANDREA DORIA 9;No;133;04;1;15;10123;;POINT (7.682643829662958 45.0641242687331);45.0641242687331;7.6826438296629584
AGENZIE AFFARI;;VIA ANDREA DORIA 13;No;107;03;1;12;10123;;POINT (7.683841584835223 45.06400097101166);45.06400097101166;7.683841584835223
AGENZIE AFFARI;;VIA DOMODOSSOLA 27;No;1346;30;4;375;10145;;POINT (7.642744580143841 45.07844668186439);45.07844668186439;7.642744580143841
AGENZIE VIAGGIO;;STRADA DEL DROSSO 20;No;2642;90;2;881;10135;;POINT (7.622657956079003 45.01385393825453);45.013853938254535;7.622657956079003
TRATTENIMENTI;PAPPA E  PIZZA;VIA ARTURO FARINELLI 36 int. 9;No;3058;90;2;884;10135;;POINT (7.632430836631216 45.01438971899012);45.014389718990124;7.632430836631216
AGENZIE AFFARI;;PIAZZA EMANUELE FILIBERTO 11/A;No;7;01;1;0;10122;;POINT (7.680970894737461 45.07626686217096);45.07626686217096;7.680970894737461
AGENZIE AFFARI;;CORSO EMILIA 35;No;1098;24;7;696;10152;;POINT (7.682726672440303 45.08449482456169);45.08449482456169;7.682726672440303
AGENZIE AFFARI;;CORSO EMILIA 40;No;1097;24;7;696;10152;;POINT (7.681022164345519 45.08528088810959);45.08528088810959;7.681022164345519
AGENZIE AFFARI;;STRADA DEL DROSSO 165;No;2648;91;2;901;10135;;POINT (7.608986787284486 45.01674697752875);45.016746977528754;7.608986787284486
AGENZIE AFFARI;ANTARES;VIA FIDIA 2/F;No;2057;51;3;0;10141;;POINT (7.621986621809036 45.07427303038736);45.07427303038736;7.621986621809036
AGENZIE AFFARI;;VIA GIOVANNI FLECCHIA 4/C;No;3494;61;8;0;10127;;POINT (7.655099348991702 45.02363208379906);45.02363208379906;7.655099348991702
AGENZIE VIAGGIO;CISALPINA VIAGGI;VIA FRANCESCO PETRARCA 11;No;877;19;8;750;10126;;POINT (7.67610865322103 45.0495503551631);45.0495503551631;7.67610865322103
AGENZIE AFFARI;;VIA FILADELFIA 167/C;No;2162;55;2;0;10137;;POINT (7.641203400685717 45.04326821464785);45.04326821464785;7.6412034006857175
AGENZIE VIAGGIO;SPORTIME;VIA PIAVE 14;No;166;05;1;20;10122;;POINT (7.676258253785048 45.07635486316207);45.07635486316207;7.676258253785048
AGENZIE AFFARI;;VIA PESSINETTO 27/A;No;1952;47;4;0;10149;;POINT (7.656614009057322 45.08957290977385);45.08957290977385;7.656614009057322
AGENZIE AFFARI;;VIA PIANEZZA 59/F;No;1947;47;5;0;10149;;POINT (7.653974148022701 45.09193443503126);45.091934435031256;7.653974148022701
AGENZIE AFFARI;;CORSO FRANCESCO FERRUCCI 89/D;No;770;17bis;3;0;10138;;POINT (7.655275354787808 45.06692153519231);45.06692153519231;7.655275354787808
AGENZIE AFFARI;;CORSO FRANCESCO FERRUCCI 89/D;No;770;17bis;3;0;10138;;POINT (7.655275354787808 45.06692153519231);45.06692153519231;7.655275354787808
AGENZIE AFFARI;;STRADA PIANEZZA 275;No;2425;65;5;511;10151;;POINT (7.629945965822347 45.09786339590624);45.097863395906245;7.629945965822347
AGENZIE AFFARI;;VIA AMEDEO PEYRON 8/C;No;687;16;4;0;10143;;POINT (7.664535252083419 45.07779525904423);45.07779525904423;7.664535252083419
AGENZIE AFFARI;ONORANZE FUNEBRI MIRAFIORI;VIA CESARE PAVESE 4/B;No;3832;90;2;0;10135;;POINT (7.630588583930114 45.01757380532835);45.017573805328354;7.630588583930114
AGENZIE AFFARI;;VIA PIER LUIGI PALESTRINA 39;No;1713;39;6;574;10155;;POINT (7.689361173504491 45.0940751781073);45.094075178107296;7.689361173504491
TRATTENIMENTI;EVOLUTION BAR;CORSO PESCHIERA 308;No;2080;51;3;282;10139;;POINT (7.631954984936356 45.07167547229347);45.07167547229347;7.631954984936356
AGENZIE VIAGGIO;FREE LAST MINUTE;CORSO PESCHIERA 198;No;1468;33;3;234;10139;;POINT (7.64623489221123 45.06615771712998);45.06615771712998;7.64623489221123
AGENZIE AFFARI;;VIA PARELLA 3/D;No;1722;39;6;0;10155;;POINT (7.680664865668447 45.09054372524518);45.090543725245176;7.680664865668447
AGENZIE VIAGGIO;GENGIS KHAN VIAGGI;VIA PASSO BUOLE 9;No;2298;58;8;833;10127;;POINT (7.661935379365429 45.0222325958325);45.0222325958325;7.6619353793654295
AGENZIE VIAGGIO;GENGIS KHAN;VIA PASSO BUOLE 19;No;2297;58;8;834;10127;;POINT (7.660833000900791 45.02246025820563);45.02246025820563;7.660833000900791
AGENZIE VIAGGIO;SUEMA VIAGGI;CORSO PESCHIERA 162 scala A;No;1478;33;3;240;10138;;POINT (7.65165532814229 45.06413973988031);45.06413973988031;7.65165532814229
TRATTENIMENTI;UNIVERSO;CORSO PESCHIERA 166;No;1474;33;3;239;10138;;POINT (7.650679472211928 45.06444357369595);45.064443573695954;7.6506794722119285
AGENZIE VIAGGIO;I.I.P. - ITALIAN INCOMING PROJECT;CORSO PESCHIERA 132;No;1480;33;3;241;10138;;POINT (7.654716315004059 45.06288394389455);45.062883943894555;7.654716315004059
AGENZIE VIAGGIO;INGITA INSIEME;CORSO PESCHIERA 138;No;1480;33;3;241;10138;;POINT (7.654065721971813 45.06313474881289);45.06313474881289;7.654065721971813
AGENZIE AFFARI;;VIA SILVIO PELLICO 29;No;345;09;8;734;10125;;POINT (7.68510942900628 45.05698702896632);45.05698702896632;7.68510942900628
AGENZIE VIAGGIO;MOTUS STYLE;VIA PIETRO PALMIERI 34;No;734;17;3;192;10138;;POINT (7.661280913879723 45.07461739737697);45.07461739737697;7.661280913879723
AGENZIE VIAGGIO;XPLOREAMERICA;VIA MATTEO PESCATORE 9;No;222;06;1;27;10124;;POINT (7.696413269471043 45.0657284143158);45.0657284143158;7.696413269471043
AGENZIE VIAGGIO;MINANTEA VIAGGI;VIA DEGLI OLMI 20;No;2764;77;6;619;10156;;POINT (7.711298598037109 45.12451123746902);45.12451123746902;7.711298598037109
AGENZIE AFFARI;;VIA GIOVANNI PAISIELLO 2/D;No;1600;37;6;0;10154;;POINT (7.698292434077531 45.08879747910157);45.088797479101565;7.698292434077531
AGENZIE VIAGGIO;VIAGGIARE ETLI;VIA DELLE ORFANE 5;No;28;01;1;7;10122;;POINT (7.678474805789124 45.0743662919626);45.074366291962605;7.678474805789124
AGENZIE AFFARI;;VIA ORBETELLO 97/H;No;1813;43;5;0;10148;;POINT (7.671360895152568 45.10611739202378);45.106117392023776;7.671360895152568
AGENZIE AFFARI;;VIA ORBETELLO 97/H;No;1813;43;5;0;10148;;POINT (7.671360895152568 45.10611739202378);45.106117392023776;7.671360895152568
AGENZIE AFFARI;;VIA GIOVANNI PACINI 66;No;1582;36;6;535;10154;;POINT (7.702182930800411 45.08312802948613);45.08312802948613;7.702182930800411
AGENZIE AFFARI;;VIA GIACINTO PACCHIOTTI 119;No;2871;50;4;386;10146;;POINT (7.62235815059031 45.07817986932489);45.07817986932489;7.62235815059031
AGENZIE VIAGGIO;GOOGITALY;CORSO NOVARA 99;No;1584;36;6;535;10154;;POINT (7.699322733116881 45.08159733610069);45.08159733610069;7.6993227331168805
AGENZIE VIAGGIO;SUPERNOVA;CORSO NOVARA 99;No;1584;36;6;535;10154;;POINT (7.699322733116881 45.08159733610069);45.08159733610069;7.6993227331168805
AGENZIE VIAGGIO;LAS VEGAS VIAGGI;CORSO NOVARA 99;No;1584;36;6;535;10154;;POINT (7.699322733116881 45.08159733610069);45.08159733610069;7.6993227331168805
AGENZIE VIAGGIO;UVET AMERICAN EXPRESS CORPORATE TRAVEL;CORSO ORBASSANO 336;No;2380;62;2;176;10137;;POINT (7.623569527937819 45.03530177391173);45.035301773911726;7.623569527937819
AGENZIE VIAGGIO;CARLSON WAGONLIT TRAVEL;CORSO ORBASSANO 336;No;2380;62;2;176;10137;;POINT (7.623569527937819 45.03530177391173);45.035301773911726;7.623569527937819
AGENZIE AFFARI;;CORSO ORBASSANO 368 int. 23;No;2380;62;2;176;10137;;POINT (7.620133651574799 45.03547940496922);45.03547940496922;7.620133651574799
AGENZIE AFFARI;;CORSO PALERMO 114;No;1693;38;6;552;10154;;POINT (7.693472666067377 45.08892463921114);45.08892463921114;7.693472666067377
AGENZIE AFFARI;;VIA ORMEA 146;No;923;20;8;764;10126;;POINT (7.675823553789953 45.04468730096068);45.04468730096068;7.675823553789953
TRATTENIMENTI;DELFINO BLU;CORSO ORBASSANO 277;No;3483;60;2;167;10137;;POINT (7.632127068590558 45.03888089217926);45.038880892179264;7.632127068590558
AGENZIE AFFARI;;CORSO ORBASSANO 291/A;No;2336;60;2;0;10137;;POINT (7.631064418429441 45.03835505749772);45.038355057497725;7.631064418429441
AGENZIE AFFARI;;CORSO ORBASSANO 292/B;No;2742;62;2;0;10137;;POINT (7.627064048474304 45.03696619538859);45.036966195388594;7.6270640484743035
AGENZIE AFFARI;;VIA FEDERICO OZANAM 7;No;84;03;1;10;10123;;POINT (7.69062900124187 45.06716931836002);45.06716931836002;7.69062900124187
TRATTENIMENTI;;CORSO ORBASSANO 244;No;2333;59;2;145;10137;;POINT (7.634810076282902 45.04063402533087);45.040634025330874;7.634810076282902
AGENZIE VIAGGIO;ERITROS;VIA ORMEA 67;No;862;19;8;753;10125;;POINT (7.680363010368303 45.05183859209217);45.05183859209217;7.680363010368303
AGENZIE AFFARI;;CORSO ORBASSANO 213;No;2161;55;2;114;10137;;POINT (7.639694438089524 45.04262716478422);45.04262716478422;7.639694438089524
AGENZIE VIAGGIO;BLUE BEST;CORSO ORBASSANO 213;No;2161;55;2;114;10137;;POINT (7.639694438089524 45.04262716478422);45.04262716478422;7.639694438089524
AGENZIE VIAGGIO;WINE&PASSION;VIA OSLAVIA 42;No;2655;22;7;677;10153;;POINT (7.723167869048571 45.07381725509009);45.07381725509009;7.723167869048571
AGENZIE AFFARI;;CORSO ORBASSANO 120/A;No;2120;53;2;0;10136;;POINT (7.648979580596902 45.04837618428181);45.04837618428181;7.648979580596902
AGENZIE AFFARI;POWER BIKE;CORSO ORBASSANO 72/B;No;2106;53;2;0;10136;;POINT (7.653535204666351 45.05140019282161);45.05140019282161;7.653535204666351
AGENZIE AFFARI;LA FIACCOLA;VIA NIZZA 374;No;2304;58;8;839;10127;;POINT (7.662112265140787 45.01932190972037);45.01932190972037;7.662112265140787
AGENZIE VIAGGIO;ADMIRAL TOURS;VIA NETRO 2;No;1271;29;4;357;10143;;POINT (7.655037935681427 45.08132469689433);45.08132469689433;7.655037935681427
AGENZIE AFFARI;;VIA VINCENZO MONTI 15;No;884;20;8;758;10126;;POINT (7.677174356759518 45.04839509227607);45.048395092276074;7.677174356759518
AGENZIE AFFARI;;VIA CELESTE NEGARVILLE 14;No;2785;91;2;898;10135;;POINT (7.612105531094576 45.02024608280095);45.02024608280095;7.612105531094576
AGENZIE AFFARI;;LUNGO DORA NAPOLI 90;No;1093;24;7;691;10152;;POINT (7.676850057621603 45.08786493453356);45.087864934533556;7.6768500576216026
AGENZIE VIAGGIO;MULTI LEVEL TRAVEL;VIA NIZZA 262;No;2271;57;8;814;10126;;POINT (7.666820955601366 45.03165208709617);45.03165208709617;7.6668209556013664
AGENZIE AFFARI;;VIA G.B. NICCOLINI 20;No;3532;64;4;412;10146;;POINT (7.618096218384416 45.08181960329991);45.081819603299905;7.618096218384416
AGENZIE AFFARI;;VIA NICHELINO 16/B;No;2734;61;8;0;10135;;POINT (7.64020640565919 45.0226402984441);45.0226402984441;7.64020640565919
TRATTENIMENTI;SALA POLIVALENTE CULTURALE;VIA CELESTE NEGARVILLE 30 int. 2;No;2786;91;2;902;10135;;POINT (7.609706651661203 45.01860390045702);45.018603900457016;7.609706651661203
AGENZIE AFFARI;;VIA NIZZA 187/T;No;2228;57;8;0;10126;;POINT (7.670451660688746 45.03968338509359);45.03968338509359;7.670451660688746
AGENZIE AFFARI;;LUNGO DORA NAPOLI 62/E;No;1096;24;7;0;10152;;POINT (7.679553402128751 45.08618571111176);45.08618571111176;7.679553402128751
AGENZIE AFFARI;;VIA MORGHEN 3;No;710;16;4;341;10143;;POINT (7.657634824020139 45.07653250163671);45.07653250163671;7.657634824020139
AGENZIE AFFARI;ATELIER N  8;VIA GIOVANNI FRANCESCO NAPIONE 31 scala A;No;427;11;7;636;10124;;POINT (7.701936236116672 45.06833013834955);45.06833013834955;7.701936236116672
AGENZIE AFFARI;;VIA ODDINO MORGARI 31;No;844;19;8;752;10125;;POINT (7.682452312237502 45.05333322938971);45.053333229389715;7.682452312237502
AGENZIE AFFARI;GRAN MADRE;VIA MONFERRATO 18/C;No;526;13;8;0;10131;;POINT (7.700958929127301 45.06361698020854);45.063616980208536;7.700958929127301
AGENZIE AFFARI;;VIA MONTE ROSA 137/A;No;1621;38;6;0;10154;;POINT (7.698886544884726 45.09623160127475);45.096231601274745;7.698886544884726
AGENZIE AFFARI;;VIA MONFALCONE 130;No;3472;59;2;155;10136;;POINT (7.635389099768545 45.05247532695014);45.05247532695014;7.635389099768545
AGENZIE VIAGGIO;MORIGIO';VIA MONFALCONE 138;No;2312;59;2;133;10136;;POINT (7.633760232015466 45.05299133582012);45.052991335820124;7.633760232015466
AGENZIE AFFARI;;VIA MONGINEVRO 282/F;No;2752;63;3;0;10142;;POINT (7.616425274684865 45.06600783558596);45.066007835585964;7.616425274684865
AGENZIE AFFARI;;VIA MONGINEVRO 282;No;2752;63;3;304;10142;;POINT (7.616621996391935 45.06590562943394);45.065905629433935;7.616621996391935
AGENZIE AFFARI;;VIA MONFALCONE 13/C;No;2123;53;2;0;10136;;POINT (7.647206394363216 45.04855936146998);45.048559361469984;7.6472063943632165
AGENZIE AFFARI;;VIA MONGINEVRO 152/C;No;2899;52;3;0;10141;;POINT (7.632446038109601 45.0645364660033);45.0645364660033;7.632446038109601
AGENZIE AFFARI;ASTRA;VIA MONGINEVRO 161;No;2100;52;3;298;10141;;POINT (7.632903973008079 45.06437271077747);45.06437271077747;7.632903973008079
AGENZIE VIAGGIO;MONGINEVRO VIAGGI;VIA MONGINEVRO 167;No;2100;52;3;298;10141;;POINT (7.632191962941763 45.06434580047978);45.06434580047978;7.632191962941763
AGENZIE VIAGGIO;;CORSO MONTE GRAPPA 74;No;1334;30;4;374;10145;;POINT (7.638269455681816 45.08060891545959);45.08060891545959;7.638269455681816
AGENZIE VIAGGIO;PORT FLEURI;CORSO MONTE GRAPPA 53;No;2022;50;4;399;10146;;POINT (7.637575591028451 45.08024416292704);45.08024416292704;7.637575591028451
AGENZIE VIAGGIO;SAPORE DI VIAGGI;PIAZZA CARLO MONTANARI 168/A;No;2168;55;2;0;10137;;POINT (7.6422862407169 45.03899596002037);45.03899596002037;7.6422862407169
AGENZIE AFFARI;;VIA MONTEBELLO 2/D;No;219;06;1;0;10124;;POINT (7.691779320277875 45.06747968704899);45.06747968704899;7.691779320277875
AGENZIE VIAGGIO;TURISMO ON LINE;VIA MONTE DI PIETA' 2;No;78;03;1;9;10121;;POINT (7.683949436407659 45.0700705077496);45.0700705077496;7.6839494364076595
TRATTENIMENTI;PUB IL PECCATO;VIA MONGINEVRO 8;No;1467;33;3;236;10138;;POINT (7.653435794589324 45.06538364855732);45.065383648557315;7.653435794589324
AGENZIE AFFARI;;STRADA DEL MEISINO 81 int. 40;No;2502;72;7;714;10132;;POINT (7.728304020773614 45.09214130328088);45.09214130328088;7.7283040207736144
AGENZIE VIAGGIO;OXBRIDGE;CORSO MONCALIERI 221;No;2480;70;8;774;10133;;POINT (7.68294444624769 45.04033321325079);45.04033321325079;7.68294444624769
AGENZIE VIAGGIO;LUNEDIANA VIAGGI;CORSO MONCALIERI 221;No;2480;70;8;774;10133;;POINT (7.68294444624769 45.04033321325079);45.04033321325079;7.68294444624769
AGENZIE VIAGGIO;747 VIAGGI;VIA MILANO 13/B;No;8;01;1;0;10122;;POINT (7.682288989631804 45.07493351262234);45.074933512622344;7.682288989631804
TRATTENIMENTI;360°;CORSO MONCALIERI 202;No;2477;70;8;773;10133;;POINT (7.68386968242719 45.04203431181003);45.04203431181003;7.68386968242719
AGENZIE AFFARI;;VIA MISERICORDIA 3/H;No;3111;01;1;0;10122;;POINT (7.677167852000506 45.07327286604632);45.073272866046324;7.6771678520005056
AGENZIE VIAGGIO;SESTANTE;VIA PIETRO MICCA 1;No;77;03;1;9;10121;;POINT (7.683281700329546 45.07063935448328);45.07063935448328;7.683281700329546
AGENZIE AFFARI;L'ANGELO;VIA MONASTIR 33/B;No;3047;89;2;0;10127;;POINT (7.654478263458715 45.01485529390916);45.01485529390916;7.6544782634587145
AGENZIE AFFARI;GALLERIA DEL PONTE;CORSO MONCALIERI 3;No;3172;13;8;736;10131;;POINT (7.697928111149296 45.06207537555245);45.06207537555245;7.697928111149296
AGENZIE AFFARI;;VIA FRANCESCO MILLIO 26;No;3298;35;3;265;10141;;POINT (7.651120930810171 45.0580987575501);45.0580987575501;7.651120930810171
AGENZIE AFFARI;;PIAZZA MONCENISIO 9;No;1263;29;4;355;10143;;POINT (7.65273233849284 45.08215819202206);45.082158192022064;7.65273233849284
AGENZIE AFFARI;;VIA SAVERIO MERCADANTE 98/E;No;1773;41;6;0;10154;;POINT (7.70291869660686 45.09626434369794);45.09626434369794;7.70291869660686
AGENZIE VIAGGIO;RONCHIVERDI VIAGGI;CORSO MONCALIERI 466 int. 16;No;2469;69;8;772;10133;;POINT (7.675993292971306 45.02033068366049);45.02033068366049;7.675993292971306
AGENZIE AFFARI;;CORSO MONCALIERI 468;No;2469;69;8;772;10133;;POINT (7.677966277207661 45.02086030147549);45.020860301475494;7.677966277207661
AGENZIE AFFARI;;VIA SAVERIO MERCADANTE 57;No;1653;38;6;559;10154;;POINT (7.699921353834794 45.09260890891282);45.09260890891282;7.699921353834794
TRATTENIMENTI;IL PATIO;CORSO MONCALIERI 346 int. 14;No;2466;69;8;772;10133;;POINT (7.675469111100521 45.02888016746203);45.02888016746203;7.675469111100521
AGENZIE VIAGGIO;TOP GOLF HOLIDAY;VIA VINCENZO MARIA MIGLIETTI 13;No;654;16;4;330;10144;;POINT (7.668155744644108 45.07962326395034);45.07962326395034;7.668155744644108
AGENZIE AFFARI;;VIA FRANCESCO MILLIO 53;No;1555;35;3;264;10141;;POINT (7.648394298890309 45.05899651437182);45.05899651437182;7.648394298890309
AGENZIE AFFARI;;CORSO MONCALIERI 265;No;2486;70;8;773;10133;;POINT (7.681063224601639 45.03625411905684);45.036254119056835;7.6810632246016395
AGENZIE AFFARI;;VIA MOLLIERES 1;No;2057;51;3;273;10141;;POINT (7.621457049236088 45.07434973977373);45.07434973977373;7.621457049236088
AGENZIE AFFARI;;VIA MADONNA DELLE ROSE 15/B;No;2208;56;8;0;10134;;POINT (7.652179055433449 45.03570343735858);45.035703437358585;7.652179055433449
AGENZIE VIAGGIO;JET VIAGGI SOLUTIONS;CORSO GIACOMO MATTEOTTI 1/C;No;138;04;1;0;10121;;POINT (7.678738087999019 45.06483328939881);45.06483328939881;7.678738087999019
TRATTENIMENTI;GRIGLIARITO (POI PASTARITO, ORA CHIUSO);CORSO GIACOMO MATTEOTTI 3/A;No;137;04;1;0;10121;;POINT (7.67830077788758 45.06498948281343);45.06498948281343;7.67830077788758
TRATTENIMENTI;CARMEN;VIA ALESSANDRO MANZONI 0/F;No;191;05;1;0;10122;;POINT (7.672071766155389 45.07516221381152);45.07516221381152;7.672071766155389
AGENZIE VIAGGIO;EXPLORANDO;VIA ALESSANDRO MANZONI 3/A;No;192;05;1;0;10122;;POINT (7.672232586153796 45.0751607177996);45.075160717799605;7.672232586153796
AGENZIE VIAGGIO;OPERA DIOCESANA PELLEGRINAGGI;CORSO GIACOMO MATTEOTTI 11;No;135;04;1;14;10121;;POINT (7.676431025335253 45.0656575267178);45.0656575267178;7.676431025335253
AGENZIE VIAGGIO;SUNFUN;VIA ANDREA MASSENA 94;No;1219;27;1;72;10128;;POINT (7.667037807802423 45.05292005908996);45.052920059089956;7.667037807802423
AGENZIE VIAGGIO;VIAGGI DELLO SPECCHIO;VIA ANDREA MASSENA 42/F;No;391;10;1;0;10128;;POINT (7.671733745802689 45.05950751303182);45.059507513031825;7.671733745802689
AGENZIE VIAGGIO;EATINERARI;VIA PASQUALE STANISLAO MANCINI 6;No;534;13;8;736;10131;;POINT (7.700421954023944 45.06139040212333);45.06139040212333;7.700421954023944
AGENZIE VIAGGIO;LIBERI TUTTI;VIA PASQUALE STANISLAO MANCINI 6;No;534;13;8;736;10131;;POINT (7.700421954023944 45.06139040212333);45.06139040212333;7.700421954023944
AGENZIE AFFARI;;VIA MALTA 31/B;No;1555;35;3;0;10141;;POINT (7.647610437024121 45.05895559904101);45.05895559904101;7.647610437024121
AGENZIE AFFARI;;CORSO PIERO MARONCELLI 12;No;2306;58;8;838;10127;;POINT (7.66422974299101 45.01837484407636);45.01837484407636;7.66422974299101
AGENZIE AFFARI;;VIA MARIA VITTORIA 36/E;No;236;06;1;0;10123;;POINT (7.691347488479143 45.06536209439809);45.06536209439809;7.691347488479143
TRATTENIMENTI;CHARRO CAFÉ;PIAZZA MASSAUA 9;No;2056;51;3;273;10141;;POINT (7.620065452166461 45.07395834130747);45.073958341307474;7.620065452166461
AGENZIE AFFARI;;VIA MARIA VITTORIA 44;No;237;06;1;29;10123;;POINT (7.692861798504573 45.06482377144343);45.06482377144343;7.692861798504573
AGENZIE AFFARI;;VIA MARIA VITTORIA 46/C;No;238;06;1;0;10123;;POINT (7.693518342267794 45.06445238041223);45.064452380412234;7.693518342267794
AGENZIE AFFARI;;VIA MALONE 24/A;No;1690;38;6;0;10154;;POINT (7.692959390235557 45.089219318788);45.089219318788004;7.692959390235557
AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 28/E;No;256;07;1;0;10123;;POINT (7.686281406737963 45.06205258003581);45.06205258003581;7.6862814067379635
AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 36;No;256;07;1;33;10123;;POINT (7.687044229013611 45.06178063918065);45.06178063918065;7.687044229013611
AGENZIE AFFARI;BOX OFFICE;VIA GIUSEPPE MAZZINI 36;No;256;07;1;33;10123;;POINT (7.687044229013611 45.06178063918065);45.06178063918065;7.687044229013611
AGENZIE VIAGGIO;INTERASSE;VIA MARIA VITTORIA 32/E;No;236;06;1;0;10123;;POINT (7.690768478438528 45.06556889369233);45.06556889369233;7.690768478438528
AGENZIE VIAGGIO;WORLD OF TUI;VIA MARIA VITTORIA 32/E;No;236;06;1;0;10123;;POINT (7.690768478438528 45.06556889369233);45.06556889369233;7.690768478438528
TRATTENIMENTI;ORATORIO SAN FILIPPO NERI;VIA MARIA VITTORIA 5;No;92;03;1;9;10123;;POINT (7.684777516463757 45.06791010434381);45.06791010434381;7.684777516463757
